id,xcoord,ycoord
"4",203980.352780535,543981.25523037
"5",203971.276705998,543894.623648341
"6",202386.304695641,545915.571648503
"7",202290.966033185,545799.753805256
"14",206296.837384354,543351.293294032
"15",206296.980204367,543332.477539962
"16",206410.036981909,543166.440803909
"17",206427.705379462,543161.827075746
"18",206369.797511668,543206.937818815
"19",205247.183440089,544189.266803405
"20",205260.430029267,544190.516354946
"31",209192.500915586,543101.845311284
"32",207067.078391021,542631.162588836
"33",207133.791025988,542816.707657159
"43",207860.573622765,543601.519043575
"44",207863.581274782,543621.693648416
"45",207953.908183055,543640.528088492
"162",201846.706819052,547404.413235665
"163",201900.565699716,547296.238891157
"164",201950.761775997,547219.337743586
"196",206711.673089236,543730.819370458
"216",206701.02030603,543746.376096663
"217",206610.12830453,543774.506956896
"218",206571.483479903,543800.497852263
"228",203666.734370012,547874.056400322
"229",203626.025192477,547729.8124777
"239",203239.661581546,546367.452022678
"240",203430.355180711,546409.169229146
"241",203457.087874636,546436.015439767
"242",203516.923074774,546459.664439518
"496",205570.616287584,545451.885374792
"501",205690.161173203,543616.892280987
"502",205618.435633005,543788.507617362
"503",202691.302513121,546795.463449572
"509",205431.96144787,545464.639637814
"510",205421.794844936,545460.399714376
"514",201995.100573874,546457.999312858
"515",202031.163145147,546429.338976149
"516",201946.800480079,546381.998271657
"517",201887.187296008,546350.138858845
"518",201831.707546864,546326.339214416
"519",202071.054526997,546498.117331315
"531",202148.888089097,546493.423900913
"532",202246.446195953,546540.093286199
"533",202317.506663165,546625.931959091
"534",202326.872539802,546587.088372033
"545",202501.747890111,546723.443471866
"546",202810.615947001,546842.362528133
"616",203027.421126617,546745.965184412
"658",202639.846095768,544373.989127606
"665",203060.527952706,544540.675510095
"667",203280.030529223,544619.056984501
"668",203289.081324698,544593.248372831
"676",203654.535780551,544717.43940408
"758",204490.654559878,546117.583556777
"759",204630.621693616,545973.086076249
"760",204630.21888821,545988.492075771
"787",204642.320696315,545993.715516334
"788",204576.100838784,546005.9118099
"789",204519.821117473,546097.865419629
"790",204534.097317147,546084.316839301
"791",204585.12985323,545994.050197762
"792",204585.958377109,546005.990983394
"793",204573.317401839,546009.706718616
"794",204551.619819892,546009.342411803
"818",204547.605605031,546037.652248954
"819",204536.908437126,546043.75911814
"820",204548.313757802,546028.854571727
"821",204524.004013085,546088.051576613
"891",210593.837102031,541030.908547691
"975",204136.95750439,546392.519900908
"976",204155.972411248,546301.929469787
"977",204162.691570507,546284.817840018
"978",204145.800156647,546286.239120148
