id,xcoord,ycoord
"8",212629.95003736,549641.487582752
"9",212600.960909017,549528.172953947
"10",212600.896445374,549521.034042508
"175",210828.167063418,549604.224709612
"176",210840.110883981,549620.784174766
"177",210885.205481333,549610.826121965
"178",210935.066533759,549602.487442226
"179",210920.514116692,549586.1444936
"180",211010.12560954,549571.630312828
"181",211034.112378333,549583.00980223
"182",211062.569901874,549579.191658163
"226",211032.261115301,550486.633307985
"238",216040.591749383,551345.34447989
"295",215928.31658242,551330.004978531
"380",215810.763908514,552198.604152928
"398",212862.044468595,548245.758681928
"399",215823.887949843,552181.355901672
"414",215851.186268095,552010.88100862
"453",212617.454829651,549505.656922737
"459",213692.971444078,550252.124414736
"460",215054.688667319,549668.634529328
"461",215029.456102509,549713.133536164
"521",212883.49054147,550113.875016544
"522",212732.525512976,550170.539340787
"526",212738.348103158,550159.076089218
"618",212191.518719571,549272.788304622
"619",213047.568313194,549278.736388298
"620",213054.901643145,549280.671577494
"621",213183.414209096,551046.729167106
"622",213074.980815489,551093.506152457
"650",214647.038218941,550702.024238749
"651",214643.226477901,550743.091736168
"660",212228.784430715,548323.272004948
"661",212060.709579863,548371.1541678
"663",212065.958318897,548376.7857701
"741",211217.000926224,547625.346704235
"859",210823.80210119,549768.706748961
"1229",213856.540884446,550249.437546654
"1230",213823.107740442,550125.562009517
"1437",213284.977535368,551037.693087459
"1438",213320.10107345,551029.837484293
"1497",211367.609546871,547156.244642169
"1507",211808.359072222,549591.453401428
"1508",212935.292364826,548771.295908163
"1509",212935.477148929,548773.745329898
"1522",213159.816908409,547850.586770542
"1523",212722.791908431,547734.977680116
"1575",213552.169777132,550592.427471885
"1624",210859.863898371,547768.35032787
"1645",211084.088729591,548544.25855799
"1646",211096.514913524,548543.665715598
"1647",212484.995383205,550354.406525165
"1648",213755.293843221,549658.208969461
"1649",210995.394254059,549882.794498208
"1650",213765.816098736,550481.279501932
"1674",215107.956504229,549911.463414875
"1675",211940.934807842,547324.517093904
"1676",212334.226525934,546884.700412246
"1677",212354.384214205,546897.337451807
"1770",211838.466061264,547799.762296954
"1918",213129.748432713,549973.038584637
"1919",213119.342069482,549919.908127391
"1920",213079.459946376,549926.677419452
"1933",212985.775391799,549810.140291244
"1935",213210.778347562,550029.203101361
"2141",215423.345339875,551756.848376824
"2154",215102.319327684,551999.74523648
"2155",215166.69316785,551894.218432186
"2156",215229.540445283,551802.581022613
"2164",215241.296910011,551798.352815261
"2165",215263.189740222,551760.445886501
"2166",215349.561140729,551761.076036416
"2167",215322.187537436,551671.576641212
"2190",215361.676396024,551698.072371283
"2191",215369.234107054,551761.277204059
"2192",215292.104085797,551721.897873792
"2194",215393.498566105,551731.572823305
"2201",215392.416822933,551741.505920209
"2202",215331.353391864,551860.334041911
"2203",215350.638794313,551874.734398888
"2212",211895.374483141,549726.136254397
"2213",211902.935474239,549752.399491753
"2223",215865.7653873,551091.964559355
"2224",215884.519808936,551095.803956049
"2225",215857.482055149,551106.66838618
"2226",215866.608533551,551119.338986012
"2235",215904.38714065,551322.274297157
"2236",215894.228815884,551337.568992558
"2237",215915.127043723,551348.614663529
"2247",215873.590212913,551492.547747294
"2248",215799.019805396,551508.99696283
"2249",215777.893491739,551522.228681829
"2250",215579.850402208,552148.98776757
"2251",215574.598771667,552122.485574008
"2267",215717.515446712,551446.175038011
