id,xcoord,ycoord
"130",203098.669261441,557470.981302536
"132",203113.928513101,557466.82088932
"133",203168.136428163,557527.98346341
"157",202485.805884758,559931.7226071
"183",202753.278266532,556840.472278875
"231",201676.30396748,560678.407662813
"320",201526.930019452,559617.955452694
"410",200580.105090414,560664.57515949
"426",202240.161233729,558949.34575823
"427",202254.203928076,558959.462954209
"428",202252.090137407,558950.755037833
"429",202247.634960319,558957.683139864
"449",202463.277217672,559973.655554254
"573",202505.414074006,557671.68491537
"574",202501.556326272,557623.032982138
"575",202514.248627301,557613.331916348
"576",201580.616636423,557698.13185306
"577",201595.135931628,557691.777985345
"578",201682.070350279,557698.404645494
"579",202520.678476571,557626.532235722
"586",201494.013543384,559989.876149734
"588",201451.762990038,559786.594197636
"590",201482.203465338,559990.864145563
"649",202543.340913253,559887.962519889
"662",201876.101860483,560485.245952967
"666",202756.048791509,556997.033484603
"669",202763.921223911,556990.812493354
"674",202838.62927571,556944.05306484
"675",202902.213545363,556875.389626744
"677",202242.033833837,558494.383031495
"743",202637.196153124,557551.549416536
"744",202682.805867891,557468.083431588
"745",202861.274105379,557447.552724282
"941",202607.181488377,558478.673328015
"952",202637.328153132,558434.267093782
"1015",202390.887204061,557998.272687878
"1116",200677.860703425,562408.863718778
"1203",203515.553081973,558612.337359002
"1626",202695.367497606,557041.664120269
"1627",201148.290247103,558058.102928198
"1652",202018.972924057,557692.638023221
"1778",202053.135160649,559474.44853403
"1779",202051.549837749,559431.824215717
"1855",201828.7229699,557864.261411883
"1861",202128.625278527,559123.817506957
"1877",201783.636381175,557680.891829249
"2009",201617.247350554,558553.914207297
"2010",203115.839488087,557445.487054457
"2011",203111.956922598,557444.791903308
"2036",201950.329691012,557188.059225583
"2044",204029.967383672,557984.940993937
"2053",201766.491354694,557297.562965205
"2078",201844.156402928,557255.706232939
"2079",201833.500329308,557228.753615319
"2083",203956.603606409,557792.831291326
"2099",201827.9685377,557234.524033982
"2100",201892.008976326,557673.552363215
"2111",204007.871437793,557938.96271536
"2172",202342.216337967,558185.285566912
"2173",202355.691232564,558136.791957881
"2174",202342.788446806,558127.638998208
"2175",202367.513152743,558090.300091665
"2176",202374.116183822,558083.959515744
"2177",202359.166488269,558077.272550534
"2178",202372.667884345,558074.246685942
"2179",202373.153912755,558033.351627412
"2180",202402.327257392,557994.373687212
"2181",202386.560491057,557986.563669756
"2182",202434.784529406,557895.319135093
"2183",202416.200123091,557888.372075214
"2184",202429.258863548,557899.085724306
"2185",202452.00972914,557769.710261797
"2186",202473.564704975,557769.080987998
"2187",202475.370064913,557714.033570817
"2188",202483.996150587,557673.355728124
"2189",202499.85396833,557686.70404738
"2193",202487.916262515,557726.370489386
"2199",202333.893459,558196.294995541
