id,xcoord,ycoord
220,184207.3069,550734.3103
255,186640.5342,550177.9322
403,186253.7182,550373.5683
753,183796.8161,552765.0404
764,187818.2193,550898.8917
965,185950.4545,552151.4448
984,186403.5244,549421.882
1012,188083.9226,550187.6322
1182,188121.9463,550971.0451
1184,186124.4964,551844.5808
1186,184551.9969,552234.6052
1188,184048.055,552301.1114
1193,189144.7093,549757.5933
1195,186929.4274,551460.5819
1199,187293.7635,551214.474
1201,187043.6537,550892.192
1205,188145.677,550150.2272
1207,187802.1488,549400.1859
1209,186235.4699,550932.614
1212,187603.2123,551007.9782
1214,188134.0267,550613.4173
1216,186867.8318,547932.7218
1218,186855.7524,547937.3468
1221,186373.0675,551865.887
1225,186678.0669,547922.5412
1227,186919.2479,547941.1882
1439,186875.9867,550038.6459
1441,185091.4898,550414.0589
1725,185995.5957,551208.1003
1727,185944.6633,551120.381
1729,186456.6589,551318.865
1731,188102.2074,551056.2821
1840,184211.9212,552401.7264
1842,184205.6116,552392.5302
1844,184335.5858,552470.3754
1928,185025.0896,550342.8026
2071,186869.2473,548049.4779
2089,186856.9312,548226.7098
2120,185117.9037,549162.4851
2133,186826.5693,550558.9045
2143,186862.9839,550552.5138
2157,186868.9445,550691.8915
2163,184135.1307,551028.3399
2505,182654.0638,551136.0377
2516,182658.527,551092.6329
2535,182664.7369,552420.1327
3337,182617.0323,551106.7653
3374,182968.4254,552528.7328
3427,186587.4456,547695.8879
3506,189261.2203,549827.1802
3533,185370.9412,550374.5249
3563,186615.227,547634.3054
3578,187059.7413,551746.133
3633,186642.9517,547640.9333
3682,185888.317,549161.979
3710,185572.8065,550541.5375
3765,186392.2451,549418.6252
3774,184222.5984,549603.145
3879,189216.4527,549945.6185
4006,187116.1327,551095.5234
4027,187383.1297,551012.3095
4067,185968.6401,551118.4721
4069,186130.1983,552343.3159
4094,186995.6826,547951.7873
4112,187677.7047,547804.2104
4114,187475.7182,547819.7962
4129,187388.8637,551004.6109
4762,187941.3816,550233.2016
5120,184135.0765,551106.4699
5274,188724.655,549884.3712
5609,183590.6078,552664.2434
5794,186886.2962,551505.281
5796,186763.1107,551569.1125
7436,184533.2035,551931.2763
7438,184365.7606,551957.4442
7659,184494.6009,551669.7704
7661,184523.2395,551963.8193
7804,186778.2,551591.527
8244,187948.4899,547853.2068
8440,185916.6011,550564.4968
8458,188668.0727,549785.0657
8571,187932.3356,548616.6429
8663,185788.6886,548101.9991
8669,189229.5892,549926.3356
8672,185697.7662,551044.7444
8682,188244.4505,550078.1302
8684,187981.8677,550249.1559
8692,187935.1496,549984.8402
8695,185845.0893,551131.566
8708,185875.4779,551230.5295
8710,185842.9791,551237.3098
8712,189001.7465,549748.5251
8717,185831.3706,551140.8229
8720,185893.6471,551381.8506
8722,185913.5836,551479.8498
8724,185152.5927,550004.1651
