id,xcoord,ycoord
"82",193803.067104134,542685.179996301
"782",192318.05537192,541821.631763026
"803",193726.853472856,542863.175893788
"804",192673.472682516,540405.20422252
"805",193880.699592121,540807.652849303
"813",193711.964991604,540816.406822204
"826",195829.561687466,541809.973231954
"827",196102.591699423,542342.620638683
"828",196193.066937959,542376.39271512
"829",196047.722295738,542420.366995025
"830",191937.400334578,542712.310536223
"831",191912.792196066,542691.777874518
"832",191950.09434301,542692.332863816
"833",192006.878446178,542696.08104995
"834",192066.358656253,542722.801839498
"835",192107.699802075,542745.520423805
"864",193521.139341238,543713.628945289
"865",193541.897920793,543538.323897117
"866",193142.757980485,539946.378724941
"871",192784.2918715,540061.415500861
"872",192793.141431531,539967.596144093
"903",192881.922000833,539956.1731325
"974",195115.941674228,541082.41939643
"998",191370.211366785,542262.976187013
"1013",191357.584195807,542258.040825599
"1305",193755.179473983,542981.794071846
"1337",194338.167645782,542985.632100437
"1628",193040.151269492,542624.658385278
"1629",193035.72005823,542641.30317417
"1651",192986.762923435,542597.178202015
"1740",195725.70681862,542366.712792552
"1757",193797.424477792,542741.871455818
"1758",193775.869147031,542737.407440251
"1759",193767.76442829,542732.705453067
"1785",194464.823181334,541842.440269364
"1832",194183.173997831,543055.422848002
"1833",194099.899499469,543099.946080674
"1834",194021.341540367,543140.594768321
"2208",196334.076274707,541393.547691837
"2349",196230.935897924,542867.74857025
"2350",196409.983478381,542772.871982739
"2351",196413.307052581,542711.830486538
"2697",196124.604185464,543481.985786414
"3113",192903.801945995,541325.803766863
"3610",194752.539567467,542618.774516522
"3684",196923.233218973,541100.975325161
"3698",197238.524524248,541546.095222692
"3803",197062.548030769,541423.275229619
"3897",195880.996326686,543374.318839312
"3898",195830.515404023,543434.229054807
"3899",196289.567736266,541015.682219339
"3914",196346.470880477,540999.090678611
"3915",196604.31535093,541864.714049285
"3916",196587.007633688,541830.546246991
"3917",196691.859362627,541743.312938665
"3953",194683.249958773,542103.884267083
"3963",198229.899124392,541865.621498279
"3964",198236.793893631,541829.29834442
"3968",195443.50667349,540802.29892473
"3973",195854.306068807,541471.968645855
"3974",196266.29097748,540952.885876006
"3975",196270.409518387,541004.764512376
"3976",196282.504429643,541029.952209979
"3977",194789.780741353,542681.011984053
"3978",194706.793871827,543141.705781641
"3982",195713.604276742,541933.492672653
"3983",194756.156677653,543195.016536697
"3984",194823.102312351,543245.371654876
"3985",194866.082112499,543304.934367722
"3986",194886.810177031,543397.5645882
"3987",194848.146917737,543506.371864568
"3988",191436.404230387,542797.755836048
"3993",198229.254740704,541890.435461393
"3994",194639.274718745,543031.893023358
"3995",194632.051129197,542984.036105509
"3996",194680.298610002,542755.389559344
"3997",194890.036906251,542644.586046974
"4015",194616.675522913,542656.172768571
"4016",194510.677921728,541286.530567541
"4017",194541.884110422,541283.536610367
"4018",194581.902827014,541275.096142861
"4019",194610.164140625,541266.262554021
"4020",194602.046451043,541232.303215459
"4021",194664.885175033,541259.686231855
"4030",194666.603636663,541234.524578252
"4031",194668.664133784,541223.116989427
"4032",194766.833184207,541275.34495306
"4033",194815.381325463,541241.140803996
"4034",194821.698200684,541256.119513736
"4044",194822.465677962,541270.481626777
"4045",194129.525053283,541615.44868011
"4046",194158.317731829,541584.61578239
"4047",192764.305121539,543336.278271724
"4048",192877.842394238,543323.607385137
"4049",193021.286669539,543259.350017015
"4059",193096.738556173,543185.48970883
"4060",194267.097207229,541671.792761335
"4061",194299.345070722,541638.31267972
"4062",194366.758671727,541767.112225798
"4063",194403.027281584,541742.090489695
"4074",194387.15172832,541935.805580166
"4075",194406.258923516,541913.546699709
"4076",194459.028303574,541943.969954543
"4077",194474.882426788,541960.861125878
"4078",194449.839153861,541972.706129432
"4079",194252.086375248,542035.483030781
"4085",194239.997167767,542002.935658081
"4086",194074.083982986,542050.39808673
"4088",193511.217581053,543658.497729772
"4089",193507.31465478,543691.883285388
"4090",193520.638440818,543665.920674127
"4102",193513.289452843,543677.356491928
"4103",193542.405852409,543697.644562106
"4104",193539.673500203,543614.899220418
"4105",193185.535157679,543002.350375948
"4106",193298.614760045,542868.140011848
"4107",193324.368075259,542885.065970733
"4108",193353.493836646,542805.178352959
"4109",193448.49669316,542723.118010451
"4121",193412.760821987,542707.192031559
"4122",193473.001004567,542691.548082162
"4123",193533.075790895,542705.42270796
"4124",193543.190737173,542740.983781582
"4125",193525.062510087,542698.975530543
"4148",193826.363414621,540572.64654667
"4154",196382.304445024,541995.705946353
"4155",196267.065188532,542867.336107103
"4168",196383.744806259,541875.543044272
"4169",196367.511010258,541974.5428767
"4170",196019.266883505,543456.625454341
"4171",196173.064181343,543482.579239472
"4172",196237.521832029,543526.137560902
"4179",197778.583097451,541863.696301948
"4181",197654.271853744,541832.19802169
"4189",196399.996866889,543607.292722838
"4190",192766.663943125,542574.276645548
"4191",194078.031844386,542085.198944218
