id,xcoord,ycoord
"172",209690.04427082,550276.357660567
"696",206669.471063961,550640.235381102
"697",206765.995818132,550875.244779526
"1171",209172.777190946,549673.365950025
"1173",208815.329341872,550318.092136859
"1174",206362.279313545,548398.912828066
"1175",208109.532030142,548116.929452211
"1701",207825.097000287,547615.074232533
"1859",206614.156128057,548229.683425294
"1860",206694.721884493,548261.709806131
"1869",208045.668108509,548778.769476173
"1870",208101.464607121,548786.429254609
"1871",208115.709660879,548823.900745946
"1872",208229.292087463,548909.907627278
"1879",206081.814585564,548171.236651001
"1880",206027.28720416,548078.929888612
"1887",206025.327439722,548091.932360488
"1888",206062.04424152,547991.771122587
"1889",206092.453058333,548188.705928228
"1890",206098.291880439,548174.399512345
"1891",206130.820849484,548128.396471475
"1908",206134.304392413,548113.883084969
"1909",206187.994092631,548065.602944197
"1910",206143.154087731,548129.258999077
"1911",206200.057192603,548055.634660954
"1922",206200.618127327,548070.730058347
"1923",206186.935994948,548053.654742407
"1924",206104.6369192,547978.683405951
"1939",208963.466121812,549517.535668112
"1943",206126.722466424,547992.139330847
"1944",206076.156468701,548039.583118787
"3370",208969.089855482,549212.637049118
"3505",208290.340303465,548728.463075308
"3838",206734.774600788,549645.13718858
"4042",206925.173382168,551251.057235586
"4100",205996.604141503,549048.791469144
"4101",205884.866818596,549101.359674417
"4120",205872.655873654,549109.553053145
"5044",207371.263753112,549038.992976363
"7305",209918.3725934,550572.125290752
"7306",209794.870237345,550496.356300082
"7307",209658.606198034,550545.33572217
"7308",209684.616279979,550609.707971946
"7309",209678.743887759,550662.736894393
"7313",209730.606685002,550581.124407682
"7314",209699.650526607,550690.863163178
"7589",208099.583787187,548120.344401477
"7597",206760.210401575,549641.969951843
"7617",206967.461543214,549557.184144625
"7618",208115.245567593,548131.187134575
"7619",208102.094024691,548142.949401633
"7620",207972.167896327,548117.746108218
"7621",207969.247271559,548107.21362772
"7622",207860.491699946,548108.982007977
"7623",207851.232770362,548100.422672887
"7624",207864.870684304,548103.399985667
"7625",207860.675363825,548094.738046925
"7626",207990.05368936,547872.776685968
"7632",207096.527342043,549549.096603127
"7662",209257.750352142,549592.169374944
"7668",205199.002696103,548128.011126311
"7669",208922.109934207,550154.274807061
"7681",209130.725429159,549369.798982588
"7682",209413.751362695,549477.69786399
"7683",208693.312990051,549841.676279018
"7684",208733.336166481,549974.896295163
"7754",209120.091467318,550249.146953214
"7755",209250.141322164,550264.674324249
"7756",209447.356556989,549844.381972244
"7757",209481.778168847,549847.729005398
"7758",208931.501562009,548625.403257034
"7759",208897.351820588,548603.83111129
"7786",207943.313122854,549111.667082019
"7832",207968.792581798,549262.848551441
"7833",207998.085177501,549368.617452643
"7834",207991.580996577,549380.690396329
"7835",208000.29365304,549376.915924618
"7840",205425.417237417,548650.350429244
"7841",205407.173820588,548613.872053235
"7843",207807.805780433,549479.868809596
"7844",207779.586146437,549776.376038592
"7848",208737.022932038,549530.090847137
"7888",208738.700730294,549701.916402776
"7890",208653.755054689,549546.155552115
"7901",208853.939116456,549413.746624324
"7904",208299.928400346,548812.123399561
"7909",208914.837663618,549302.286855815
"7910",208913.051592309,549282.378221829
"7936",206684.476766666,548125.713813636
"7940",206654.854792882,548095.052538635
"7941",207378.256356815,551365.993543523
"7942",206653.231815618,548024.979376268
"7943",206273.887363078,550131.223128986
"7944",206639.770380094,548017.860469999
"7945",206618.061662483,547910.125078109
"7946",206610.345896492,547897.362111014
"7947",206751.812271061,547865.530060499
"7948",206746.542737999,547863.707473052
"7949",206588.370280572,547806.009523195
"7959",208708.63745026,548879.511136921
"7960",206609.493686413,547800.749496592
"7975",208792.965665749,548799.155102784
"7976",208989.885288246,549171.871913212
"7977",208974.828354086,549200.756921523
"7980",207845.90841256,551031.559860264
"8009",207981.005287452,549260.780006858
"8057",206291.762274326,550253.482650818
"8064",206423.888567305,549831.820105994
"8065",206148.040230652,549865.803679023
"8066",206075.818983232,550081.148325316
"8069",206638.534905209,548807.893020974
"8070",206633.772805329,548776.132673992
"8071",209421.781226952,549422.869734894
"8076",208615.504750167,549788.618909877
"8077",208519.409695776,549322.135100909
"8083",208786.138041537,549189.819730097
"8084",208694.51638703,549184.026611064
"8085",208851.402414213,549030.050771995
"8088",209357.921616647,549732.847879022
"8090",208448.577225855,549314.366105768
"8091",208841.831353852,549009.74741069
"8092",208833.896989658,549032.367272853
"8100",208212.398381621,549404.433691876
"8104",209432.947900538,549828.230940711
"8105",205960.640722417,548444.463679317
"8106",205992.976696237,548298.620285161
"8107",205967.76087005,548216.820426938
"8108",207678.519270897,549666.921536185
"8126",206256.188040271,548959.088698313
"8127",208106.18097506,548354.494628562
"8128",208097.435698027,548332.862534876
"8141",208099.517864859,548323.325500316
"8142",208106.613596414,548268.666729546
"8203",209220.87451572,549764.490415415
"8208",207033.147112929,548051.366281528
"8231",207875.299426824,548744.535339648
"8235",208207.497187603,548330.03214221
"8248",206011.10464082,549052.990150509
"8249",208131.015694111,548446.510529941
"8250",208089.573269339,548266.969095169
"8251",208185.034464672,548303.476679494
"8261",208171.684454963,548328.4758844
"8273",208260.207911873,550427.616523211
"8278",208010.758873416,548735.010518018
