id,xcoord,ycoord
"359",187900.308563312,545337.55727378
"415",187542.061808452,544744.762193142
"416",187542.544300355,544733.152486995
"422",190662.223478162,542834.329710938
"670",190304.957810616,545147.620575377
"671",190291.748439176,545141.444715621
"672",190299.483921345,545141.246153374
"1011",190926.873046013,542881.754633265
"1064",190294.275786651,545658.163879748
"1135",190434.191160115,544235.147716102
"1136",189363.990828062,544857.641793951
"1137",189347.763862255,544847.161420426
"1154",189663.461726464,546064.251362163
"1270",189217.428972215,545025.280352099
"1271",189284.012076574,544955.096106826
"1272",189266.3056566,544938.474468582
"1273",187609.1736007,543966.551919428
"1282",187547.964235145,543190.67090535
"1283",189601.190541633,544452.721644806
"1284",187652.63629703,544965.870061715
"1335",189793.380744101,545723.812248867
"1402",190676.03402312,543765.164339908
"1403",190679.108263644,543753.914971824
"1459",190052.923875557,545419.085334413
"1460",190111.270766081,545343.317497478
"1488",190091.861786188,545389.422718288
"1492",185492.905466832,544043.69223137
"1550",190004.38445098,545314.821501005
"1551",190268.007596177,545472.311743665
"1552",190217.311343571,545430.92715531
"1573",187378.682758418,543408.673309974
"1574",189142.323570723,545254.593866276
"1576",190110.750850391,545630.206435208
"1577",190098.796832594,545620.964322362
"1602",189552.894182233,543505.454993414
"1603",189583.490364366,543601.316356192
"1604",189593.243398267,543632.424509023
"1605",189725.374398431,543524.5170904
"1606",189571.191468117,543556.142226768
"1630",185072.928309258,543989.286719369
"1631",185068.825654993,543978.369114747
"1632",185055.610717347,543992.514997588
"1633",186722.122845769,543950.705713117
"1634",184838.017691249,544376.183473478
"1691",186293.035060915,545344.47529287
"1748",187747.541702167,545046.688001066
"1749",184892.683787206,544783.132820389
"1750",189908.401459945,544871.719496861
"1751",185931.467420989,543916.441384314
"1752",190422.882520826,543943.841375939
"1753",189938.620338089,544789.971859032
"1769",191105.370979895,542645.497219575
"1983",186050.11893406,544921.842964674
"2135",189991.20725244,544392.836522852
"2145",190014.12401867,544410.076703739
"2146",189989.964800199,544419.056089196
"2147",190032.63508714,544449.435164026
"2159",190056.142048461,544467.611468121
"2160",190063.397967626,544475.847738803
"2161",190074.203631311,544453.820863573
"2345",189053.92275676,544025.016646504
"2358",189015.277199103,544022.85091548
"2793",189998.755867863,542478.148879917
"3119",189633.437638859,544059.684381022
"3121",190248.548596152,543011.515835712
"3474",190469.584370534,545281.423267708
"3768",189635.38135574,542830.166397708
"3798",187461.346648681,545187.042241928
"3799",187529.139551602,545217.480126581
"3801",187537.96597208,545230.397978664
"4096",185598.645579153,543744.552669118
"4361",190574.290084892,542560.294712796
"4362",189694.853976452,545141.839050519
"4363",189363.271053778,544837.822207093
"4421",191053.223018901,542699.081332438
"4422",191131.130973452,542642.377633193
"4433",191273.59206802,542603.260392574
"4434",191303.522114063,542762.606326317
"4435",191285.748375456,542811.676115054
"4449",191249.403707044,542832.682353341
"4450",191263.242453769,542831.025782929
"4451",191381.178650259,542803.565007432
"4473",187485.135161196,543824.572056509
"4474",187446.709573146,543798.771203559
"4475",187463.147106567,543780.948509086
"4476",187472.827207796,543784.461771462
"4477",187571.785280402,543748.481962983
"4491",184549.817209847,544031.37208868
"4504",189632.010093174,545051.88709012
"4505",189461.466238355,544943.112049803
"4514",190048.608048806,544652.092223552
"4515",189723.399687295,544431.694977337
"4520",184511.204629916,543329.760449323
"4591",185589.704027286,543766.636763253
"4592",185453.87438632,543778.26113312
"4593",185394.451488419,543778.017195695
"4610",185349.112062389,543779.271174423
"4611",185340.00341815,543803.273332051
"4612",185336.477025978,543812.213547618
"4620",187531.383114496,545415.441732185
"4622",190718.800466774,542141.153827068
"4638",189739.059669283,543466.69495916
"4654",187740.922132445,544975.980449088
"4655",187688.786107768,544945.566415888
"4656",187699.219491436,544946.713045981
"4657",187662.80066529,544938.16976223
"4658",187664.886019274,544948.915721071
"4677",189810.547822108,544394.414705075
"4695",189916.885714981,544337.799894292
"4696",189926.044939794,544365.365929109
"4697",190058.165345467,544448.623173299
"4698",187751.194508017,544259.923099434
"4699",187798.989176335,544216.81856633
"4700",187805.244297463,544218.302304998
"4701",187859.395429846,544242.385349346
"4702",187878.835422454,544253.654024992
"4714",187576.368859693,544161.152499691
"4715",187663.004301363,543946.970276675
"4716",187748.122841211,543897.337387144
"4737",190929.676308938,543109.325455212
"4738",190941.265732939,543086.245255624
"4745",190540.402761757,543477.32844294
"4746",190537.393577525,543469.052434786
"4747",190551.17562026,543457.57165485
"4748",190549.154031436,543446.57010262
"4765",190683.872350431,543553.910420707
"4766",190592.29816085,543509.381076414
"4767",190904.52465355,542730.479056327
"4780",184917.059439271,543763.917690182
"4786",190652.586174471,542672.396604938
"4800",190921.120957208,542725.601310668
"4802",190883.913369673,542717.334721191
"4898",189999.205285392,542496.206037247
"4921",185460.802205515,543259.829975887
"4934",185912.527885791,543941.926978529
"4935",186036.749705513,544507.517301144
"4947",184696.991797566,543766.741254138
"4966",187320.773943438,544238.8413232
"4969",187821.919279495,544614.653886107
"4970",187807.72923369,544610.694628215
"4971",187783.607367942,544610.572495718
"4972",187759.765684527,544617.159433839
"4973",187722.240487708,544624.43888165
"4974",187641.220784577,544653.780345088
"4975",187637.772839051,544663.544908213
"4976",187555.20640067,544726.876196664
"4977",187534.529824641,544725.310071795
"4984",187292.018040894,543800.980799014
"4994",187683.383431663,544336.425625238
"5004",186533.911473682,544746.952175535
"5017",187726.206631661,543442.836677584
"5018",187720.10318375,543462.849148864
"5019",187676.197321784,543559.197820164
"5020",187657.535884867,543622.688107423
"5021",187646.949914093,543635.342062037
"5022",187543.34841103,543174.013763606
"5032",187541.035431985,543186.543547108
"5033",187573.219255693,543227.570983444
"5034",187497.969339607,543200.861896112
"5035",187483.835425733,543204.930448364
"5036",187491.699749315,543215.010469044
"5037",190410.966851813,543760.129183224
"5041",185698.197219415,543271.770946744
"5042",185779.231575319,543288.448274149
"5043",190357.442456004,543719.059440985
"5060",185900.184549344,543678.725813468
"5061",189612.120537694,545609.401240577
"5062",189556.671924096,545647.720243093
"5080",185892.719596788,543694.929836383
"5081",185765.12780548,543619.059983032
"5082",189574.848208848,545844.247750226
"5083",189583.841980945,545849.91246843
"5084",189625.616583052,545833.932186626
"5085",189522.988454037,545864.452924255
"5086",189102.542428087,544732.853469364
"5087",189091.960602244,544721.13580348
"5088",189129.566767259,544664.252053477
"5089",189042.972263453,544544.83737799
"5090",188799.822577044,544444.075395724
