id,xcoord,ycoord
"13",191808.667397637,540366.036653174
"219",191039.546022289,539091.120134776
"221",191223.485016421,539085.580889538
"222",191216.434087256,539098.698199304
"223",191240.231508752,539083.982131791
"232",191219.675599287,539103.183150104
"233",191168.422043152,539038.287789977
"234",191156.488180338,539016.023713312
"235",191179.565181609,539035.582268367
"236",191134.085691017,538940.229924694
"262",190111.224728995,540701.062174453
"269",190111.458790026,540655.623248011
"270",190124.645276801,540649.038366808
"271",190051.662650165,540612.886805044
"354",189516.977154043,541634.842158565
"456",191676.14173213,539037.421382619
"457",191754.474937971,539050.632137473
"463",191055.181647419,541827.037294765
"464",191050.301316285,541758.269755483
"543",190420.451527135,541213.679426607
"544",191033.437617109,540781.336562324
"547",191564.229962792,540375.455944877
"548",191589.418953452,540375.444139948
"549",191606.47077502,540364.220804584
"556",191642.708119877,540372.118378994
"557",191667.048379758,540359.025691006
"558",190092.923991671,539849.911447891
"560",191262.291867259,539361.984075597
"561",191287.636513757,539277.409316047
"562",191303.945412301,539222.38390265
"563",191343.227078509,539096.623339112
"564",191622.108479492,538693.115613201
"711",192067.255017199,539090.442042811
"712",191863.013120544,539675.656536144
"713",192103.349220038,539143.834788986
"714",191741.481455947,541280.780130528
"715",192189.455037995,539171.379502708
"716",191738.245123859,541224.185701279
"717",191743.809553096,541154.262275881
"718",191535.808823128,541074.293860016
"720",191124.863578067,538932.511420107
"721",191092.525753893,538693.240297605
"752",191781.495371329,540999.107806145
"766",191775.344634607,541019.537520005
"767",192232.31823153,539430.600430661
"769",192008.244905712,539579.572282688
"776",191234.927264802,542194.049245816
"777",190960.611485793,541170.164666348
"779",192177.669114847,539008.13971088
"799",192626.522878256,539274.060686111
"802",192234.711359308,539162.53391303
"910",191548.256463489,538605.03216406
"911",190028.940828577,539940.950021947
"912",191579.732462195,540172.825280576
"934",189430.505634237,542629.953976336
"935",189443.951056917,542536.382856454
"943",189362.087565018,542768.715942574
"944",189334.877135356,542842.769101536
"956",189342.512693211,542822.047406267
"994",190344.236182726,541875.138977627
"1029",191644.172363418,541151.853245129
"1339",191352.499579725,538621.565591272
"1340",191321.180304502,538600.747807629
"1341",191317.343596525,538604.140817901
"1342",191308.090278079,538592.859665745
"1343",191318.568609562,538587.393265627
"1344",191264.545668636,538570.134086226
"1345",191088.708820062,538574.911212494
"1346",191094.68028536,538584.834580316
"1347",191228.155380193,538550.677704208
"1348",189757.249539033,542159.816323976
"1349",189091.83648897,542132.892842048
"1350",190834.123844229,539683.808267687
"1379",189983.22071225,540729.163131324
"1386",191211.238943967,538522.421048103
"1387",191199.299861104,538531.821179626
"1388",191181.912140306,538568.560354916
"1389",191138.400273659,538594.531947375
"1390",191152.721883634,538597.927437772
"1391",191152.462256481,538587.630850281
"1392",191231.237245391,538575.186937071
"1393",191244.025012444,538584.908151529
"1394",191257.704435127,538662.971219239
"1395",191276.113567401,538664.58042304
"1396",191281.031217517,538680.548519814
"1397",191281.035681168,538730.820741123
"1398",191294.356352911,538747.901549212
"1427",191289.642320132,538787.657237446
"1428",191312.059158098,538790.921837331
"1429",191266.548512922,538799.072748034
"1430",191256.472760508,538807.349910119
"1445",191322.509281667,538794.720268813
"1446",191318.449702064,538801.399196243
"1447",191319.160536578,538785.560050599
"1448",191380.093525799,538816.694829635
"1449",191486.004334621,538822.095767573
"1450",191445.251694493,538974.501246046
"1755",189830.253354935,541508.239539041
"1767",192470.156324933,539392.161925081
"1768",192584.684861082,539313.577673027
"1847",189582.32779723,542146.240280944
"1857",189606.46825567,542080.578924137
"1858",189606.518759264,542153.442891421
"1946",189258.441656361,542440.228675704
"1947",189228.190948659,542529.641147123
"1977",191944.431716809,538556.360279715
"1978",191827.782781276,538650.549710053
"1979",191726.486349252,541342.624180041
"1986",191711.05691255,541399.5910337
