id,xcoord,ycoord
"11",206375.679415756,562284.84371291
"116",206326.362255459,558993.004965575
"225",205029.460239456,561702.66254128
"227",205293.245489208,561777.769162463
"252",205816.620105723,559016.747890771
"277",204739.482066278,565337.671256391
"278",204747.293815093,565341.501210442
"286",204749.554004549,565325.616894503
"287",204754.705056305,565330.400073448
"288",204861.164076501,565345.763399136
"289",204666.357645338,565205.587352234
"290",204675.656907628,565223.627867567
"296",204591.251074997,565242.026293617
"303",204692.295932602,565190.022854234
"305",204688.337298797,565176.937728234
"306",204698.129181318,565168.593433289
"307",204738.76800863,565137.462957775
"318",206444.419731928,557453.61267041
"325",204703.152908513,565346.924175679
"433",204573.548301431,565250.911281566
"434",204591.940968004,565220.998799616
"1172",205239.282264956,561617.653424219
"1179",206440.743395868,562282.269625899
"1656",206232.940877026,561463.023378971
"1657",206257.418139959,561461.558861759
"1660",204693.904816165,564752.311117503
"1662",205807.818501343,562436.310292565
"1697",205448.321333234,562599.137199529
"2048",206357.897958167,558716.907173362
"2062",203752.11313294,559053.853826385
"2063",205714.686993087,562763.929307839
"2064",204504.602843628,563499.515676368
"2065",204481.807320363,563499.866878531
"2066",205031.526280082,563684.428196954
"2067",206999.513045317,563482.070823838
"2123",209641.913316831,559928.859042683
"2124",209678.34734145,559962.444259202
"2238",204822.736843171,557851.641978966
"2258",205706.854040652,557318.068837126
"2259",205674.837574581,557319.152199312
"2264",206723.283103915,561108.556876748
"2265",207050.109144176,558638.99642989
"2278",206431.400626586,562101.538617474
"2279",205049.157876107,562764.771458279
"2280",205238.572094121,560964.032607756
"2281",204409.561045427,558675.530941649
"2282",204405.657846442,558685.737093285
"2297",203905.17822719,558908.380491782
"2470",206870.351865903,558708.954216874
"3595",205076.946790051,561579.383795536
"3596",205069.606653553,561619.56059647
"3599",205050.846140557,561692.364815175
"3600",206708.499474708,562555.843800748
"3612",206227.107212251,558364.744641575
"3629",206010.709549193,559640.786983461
"3642",206298.190255131,558834.653339844
"4137",205300.902733031,560622.85816521
"4333",206733.506423321,558958.003995191
"4334",206731.729500936,558927.269810863
"5283",206806.828291886,557710.245936706
"10070",205134.132752103,560621.491596029
"10712",206175.664367436,557363.996828513
"10713",206179.60800616,557340.504250154
"10714",206186.386676575,557350.367019158
"10715",206381.937155889,557458.008524088
"10796",205079.801101013,557619.212875622
"10797",205110.06536016,557726.102348581
"10799",205979.135287786,558053.812143999
"10807",205581.087505119,557780.605488336
"10808",205604.125700897,557773.870561523
"10809",205223.955594514,557932.052804652
"10810",205235.174383949,557959.730676157
"10811",205391.8088176,557982.295805154
"10812",205549.564326906,557887.459902981
"10813",205445.694819734,558124.213780549
"10835",205852.348748833,557287.11899043
"10836",205710.643976888,557468.570001447
"10837",205665.858444497,557477.11393266
"10838",205646.616476185,557568.500384222
"10839",205587.797258617,557537.126738717
"10885",206011.143438562,558218.346205137
"10886",206429.017677914,558435.864896192
"10887",206382.228542959,558403.321569082
"10888",206327.795951705,558395.370959119
"10889",206310.128271929,558378.085834769
"10894",206325.836399175,558368.450202845
"10895",206354.800784233,558255.201411697
"10896",206385.34160824,558140.607259797
"10897",206259.481904821,558347.576976294
"10898",206099.329358745,558665.696635905
"10904",206370.720784759,558675.431505172
"10905",206352.612582467,558652.994362579
"10906",206432.459222549,558480.387202474
"10907",206402.475708677,558593.750678792
"10928",206186.99293961,558778.382044341
"10952",206403.492592642,557620.063611258
"10953",206395.824304163,557750.023557338
"10954",206336.860124535,558017.812568768
"10957",206383.617804278,557740.821164645
"10964",205736.912119536,557247.302092537
"10965",204412.506051677,558680.840932713
"10973",205736.907568096,557260.12552563
"10974",205725.811596679,557263.876518823
"10975",205710.109501898,557254.673798082
"10976",205583.405780053,557206.935734852
"10989",205302.472455888,558310.679901219
"10990",205408.624027747,558174.579109838
"10991",205333.636592609,558157.157394387
"11023",205718.877019522,559835.292004078
"11024",205692.011137492,559847.277986189
"11029",205827.210979423,559430.975449483
"11030",205679.204073807,559304.485408086
"11033",205852.780751499,559428.408534668
"11034",205863.716778914,559402.021390039
"11047",206550.19709528,557528.600364172
