id,xcoord,ycoord
"12",203835.957461924990639,564636.228111978038214
"22",202913.552563595032552,561848.930863432004116
"24",202758.243505733989878,561771.944209243054502
"111",203834.735183537995908,564611.796623689006083
"118",204027.668441240995890,562737.447007569018751
"119",204049.428608837013599,562727.786915433011018
"272",204128.680445095989853,561326.641891877981834
"475",204073.632586118008476,564221.174839632003568
"476",204069.118365322996397,564237.789614432957023
"480",204036.819166227011010,564063.258365198038518
"481",204050.857225368003128,564094.045928489998914
"482",204138.112571686040610,564074.266036079032347
"511",202519.125882857042598,561308.843661008053459
"512",202500.092903198004933,561307.724635379039682
"513",202525.009585579013219,561303.567767872009426
"659",204078.070741611008998,564264.878183283959515
"681",204074.067169199988712,564015.075251952977851
"682",204081.838816520990804,564027.096639347961172
"683",204145.849141507002059,564123.574301096959971
"684",204140.748369237990119,564132.784773495048285
"685",204261.665388771012658,564108.725926834973507
"686",204268.455593052989570,564119.345716319046915
"687",204211.281684735993622,564158.316524615976959
"1297",202644.146303996996721,561756.574309468967840
"1298",203856.607146363996435,564265.331781720975414
"1299",203961.964982906007208,562484.998326939996332
"1300",204089.347419019031804,561336.056672967039049
"1301",204017.111228494992247,561326.629987425985746
"1302",204012.201165728998603,561322.205485395970754
"1493",204353.141275781992590,565376.923864049953409
"1594",203479.600086769001791,564358.151392880012281
"1595",203505.302949989010813,564354.432369780028239
"1596",203406.866586815973278,564346.748366356943734
"1827",201695.608453630993608,561250.021501751965843
"2031",203341.163517108041560,561633.877221710979939
"3594",202641.712819364998722,562020.211756546050310
"3621",203493.577519242011476,561953.855274169007316
"3630",203349.314697841997258,561956.362400898011401
"4217",203580.459812677989248,564402.106152695021592
"4247",204138.750983692007139,562331.492236003978178
"4256",204118.911137546005193,562543.220308189047500
"4275",204048.917645428009564,564914.460132110049017
"4276",204042.096668772021076,564902.364356447011232
"4384",203192.897264725994319,562812.160863277968019
"5219",203792.287906182988081,563041.305364476982504
"5220",203952.009827244997723,562735.910293114953674
"8267",203912.104848429036792,563520.058169986004941
"8783",203610.623899834987242,563517.304753073025495
"9470",203895.554729858005885,563003.882168860989623
"10183",204444.932713537011296,560675.789611804997548
"10187",204466.610854739032220,560694.458057943964377
"10394",204060.219478661019821,563052.361767390975729
"10395",204074.412463090004167,563155.720890871947631
"11007",203354.482165422989056,561940.466692619025707
