id,xcoord,ycoord
"174",205876.321935711,556186.330555416
"195",204054.083201539,553009.202152971
"243",202626.014056894,553695.819121611
"258",202598.192038685,553664.805856903
"308",205188.793261828,554410.307634141
"316",202601.712492792,553650.545382843
"430",203097.043136836,553030.365830654
"431",203089.638191861,552986.456253376
"435",203093.800867842,552973.686912317
"436",203107.288093424,552885.520870441
"437",203101.584670239,552864.763090841
"438",203295.921437467,552805.489946099
"439",203300.462278052,552812.633330124
"440",203314.361794891,553015.362573029
"441",203309.82211414,552949.491454708
"442",203301.149502112,552941.655829535
"443",203308.177291679,552929.756329597
"444",203301.782358729,552894.463734551
"447",203307.399660169,552888.05720545
"448",203217.552402315,553018.071309693
"462",204716.463046652,553762.38527203
"904",203107.996484818,552674.343808051
"905",203164.611568241,552579.691215639
"942",203291.417306995,552677.695535132
"982",203254.653622592,552671.618126221
"983",203142.871219759,552673.340715803
"985",203151.354950267,552680.112225987
"986",203221.157386445,552682.863820818
"987",203236.266048527,552681.435109577
"1008",203268.047857761,552679.767981725
"1009",203123.632800393,552670.984082242
"1155",205376.681390436,553312.722453516
"1156",205302.63285614,553331.396820502
"1157",205287.142545111,553339.617144495
"1158",205399.826460123,553517.947987791
"1159",205387.441721689,553513.754227327
"1160",205386.282878,553518.876205124
"1161",205386.416898373,553526.518803697
"1162",205393.149565298,553418.979040735
"1163",205399.37075413,553406.028315696
"1164",205390.577105013,553404.514201146
"1165",205305.510412552,553346.564206612
"1166",205297.67517237,553353.81850338
"1167",205248.947423916,553300.306948893
"1170",204135.040665337,553408.892157038
"1321",206290.50992966,555782.674723141
"1323",206282.495405952,555779.534416934
"1327",206236.96157094,552535.523747726
"1329",204474.268941576,554049.82913082
"1474",204623.496684723,553990.447121865
"1486",205506.323562414,553285.806977892
"1518",203269.129173967,553379.108233497
"1519",205971.903574676,555755.949793056
"1520",204092.237623926,553435.656578847
"1524",205028.136632276,554652.314289778
"1544",206025.536627016,555768.795276995
"1618",205427.482454923,551795.998930181
"1619",205384.271855356,551788.566151791
"1643",205520.676810434,551920.401820885
"1644",205552.273807971,551867.47929765
"1996",203276.643288701,554297.770761984
"2299",204801.261146824,553782.496880579
"2314",204506.269846291,553498.622196101
"2315",204396.749496495,553560.800872183
"2316",204161.306547093,553478.656522412
"2317",204161.911432367,553483.810480386
"2318",204163.055822108,553488.18075149
"2319",204164.580506905,553496.929471929
"2320",204137.061829263,553489.761789667
"2328",204141.315084952,553504.175320144
"3558",206225.979821415,551709.637769456
"3559",206220.6249943,551721.323130919
"3561",204767.637494475,552672.21348989
"3564",206380.440988618,551724.310836636
"3571",206000.937339535,551905.728725884
"3607",206266.879939599,551776.053949349
"3643",206264.445912119,551791.119150625
"3670",206244.198088077,551789.709305586
"3687",206234.560152982,551712.593917434
"3690",206232.002230655,551722.610102633
"3691",206336.106650692,551891.887326127
"3692",206399.734998568,552017.763554167
"3693",205994.025777736,551822.754669088
"3694",206025.317191071,551887.063334416
"3720",204371.238117181,552394.852279855
