id,xcoord,ycoord
"56",197450.64632892,542258.222173586
"156",196859.355160093,543301.552453936
"170",197051.914386838,542555.080840057
"171",194094.233825063,544425.799278222
"323",193949.451568629,545966.060943627
"324",194003.421487453,545982.057870144
"337",194002.255790739,545973.779219397
"350",194578.844829646,545999.806730566
"364",194703.259861993,546010.514705876
"367",194699.200570754,545986.51269805
"368",194729.842256658,545993.512742229
"382",194719.638797174,545992.727445369
"383",195049.550572739,546044.347582382
"384",195051.956195576,546029.125294192
"385",195092.688945477,546048.970664142
"386",195096.666518827,546028.65584921
"401",195168.816578981,546046.657577942
"404",195412.906460438,545948.984762798
"405",195532.941219618,545937.485769816
"406",195529.060678376,545921.338189062
"407",195575.663527646,545905.543082981
"408",195643.865937703,545927.27310944
"411",194996.359313179,545074.978814739
"412",194965.195082987,545000.981577328
"413",196926.105162088,545371.712045048
"417",195643.840152752,545913.227707071
"445",194642.546095426,544957.209846267
"738",193350.42996169,544547.940163341
"739",193358.825733633,544544.289862301
"740",193506.034185121,544536.524344951
"747",193508.459225929,544447.48757142
"748",193572.527930371,544412.489940194
"1065",195072.079247202,544599.847479552
"1066",192440.489582212,544044.627189638
"1067",192439.317276755,544032.529963086
"1068",194230.86130329,544263.470939288
"1072",192481.111224438,543808.98791079
"1377",196080.999106994,545198.071925383
"1378",196378.257463315,545309.483714998
"1494",195023.766151576,543770.079022416
"1498",197038.319931803,545190.997769611
"1499",197034.696809955,545208.591657643
"1500",197026.398228222,545125.337592301
"1501",197000.88318165,545123.834417931
"1502",197002.027549741,545131.915763088
"1668",193284.351434382,543702.983390809
"1669",193247.293049603,543824.987539154
"1783",196201.553995576,545232.849434482
"1793",198209.06508914,543857.037492902
"1795",193711.228613626,545494.63381322
"1796",197144.652795886,542839.764613173
"1797",193142.80589351,544282.255103541
"1798",193717.866145615,545488.965904532
"1817",196209.736084159,545177.833815709
"1818",196278.135551112,545262.860961754
"1819",196326.416821068,545275.339221574
"1820",196327.837450741,545259.48616383
"1821",196353.505133217,545291.054524546
"1822",196325.724835624,545208.797961769
"1828",195919.347828927,545935.805893394
"2126",196490.237678259,544711.148798296
"2127",196478.384997958,544610.330198024
"2128",193453.460507392,544812.71589811
"2129",196473.493020109,544618.646000256
"2130",193447.718365149,545719.456132333
"2131",193429.889436428,545720.490244045
"2134",196661.089349104,545350.051322883
"2204",193603.529194699,544155.086409005
"2205",193619.985409364,544240.151108291
"2206",193595.117097219,544107.57634231
"2207",193653.128497993,544059.000331259
"2523",198456.434756979,543927.771933422
"2622",195818.351921421,544253.263201951
"2935",195071.842610269,545973.249038156
"3049",196774.356077299,543249.124121888
"3577",192971.073379272,544440.1025866
"3587",194000.535691461,545635.609421908
"3588",194013.670188109,545295.177984641
"3589",194005.667010878,545469.018965871
"3591",194007.468657656,545506.617624182
"3592",194004.727662923,545653.748644298
"3657",197563.774018448,542721.543920599
"3658",197142.278195466,543052.884648875
"3695",198006.427204661,541910.123607557
"3697",197517.581557187,541825.285734868
"3989",191498.817591989,542892.068599701
"3990",191616.515887387,543070.774862173
"3992",198085.759040313,541933.02809401
"4028",197909.873194646,543424.869297042
"4029",197943.291325849,543671.139901155
"4087",193166.444821747,543427.046349861
"4110",196983.335807435,542430.410340969
