id,xcoord,ycoord
"81",191666.367416108,550887.267474603
"83",196310.737443569,549754.019824071
"273",195255.710632098,548896.418056289
"274",195264.192633898,548938.26252892
"275",195388.312229504,549019.381445045
"276",195253.242885227,548943.955771945
"297",189849.588992205,553732.860751232
"298",189928.186183832,553704.657116158
"299",196546.343279577,550230.337646911
"300",190037.479641824,553650.550655226
"301",196366.762201795,550269.741480493
"302",190154.285817669,553598.229163947
"304",190190.309231322,553649.684376559
"338",189683.108730964,552706.894074804
"339",189694.904469627,552682.55148174
"340",189514.48660255,552297.792775832
"341",189323.143424877,552022.899866048
"342",189331.159058775,552027.351465379
"343",189444.016470588,552222.015829311
"344",189310.637111882,552057.844983301
"345",189300.686581535,552040.973335656
"346",189444.627102539,552240.03115061
"347",189578.949087844,552426.049803346
"348",189589.126404532,552423.207080901
"349",189425.008883869,552985.148959825
"419",190310.738489691,553001.501858339
"746",195466.367153549,549259.242215701
"770",192386.606112325,549958.67261881
"771",192324.824293799,549963.102719633
"775",191132.095493674,552963.022421138
"1047",194847.333310256,549064.481689851
"1432",194000.838254463,549657.191648836
"1433",193935.377403195,549495.166395156
"1435",193975.92461278,549533.47891386
"1485",195617.299225505,549187.239840879
"1487",195587.926168572,549162.509166945
"1514",195545.146870456,549125.750780743
"1540",191824.42923842,550060.274992723
"1541",195160.268537362,550098.073723074
"1617",195760.375839704,549267.610368448
"1635",190872.78866646,553195.372888594
"1655",190977.094859986,553089.807369736
"1739",193756.529432898,549388.410613894
"1773",193471.225500496,550768.266641263
"1774",193496.345170638,550763.525346069
"1775",193540.677645327,550721.42257803
"1809",193753.090888773,550579.694459356
"1810",193740.575049603,550580.239022424
"1811",193735.18987696,550601.656472529
"1812",193723.11254712,550595.473935662
"1813",193552.390239199,550727.338275959
"1814",193546.504651907,550714.526706232
"1815",193555.308449325,550716.660774045
"1835",190526.815725492,553025.630444591
"1836",190594.263848026,552979.188093039
"1838",190990.390393508,552813.415729782
"2244",194064.91339146,550724.689211408
"2376",193206.882038062,549959.188073673
"2390",194576.262937297,549433.479527844
"2405",195180.018861703,550307.961759156
"2407",192994.744351035,549802.040652756
"2408",192958.305055517,549831.788471089
"2421",196044.031120412,550158.517880846
"2422",196269.336359387,549426.921135843
"2494",194607.09839015,549958.510474649
"2495",194468.165243869,550361.287148373
"2496",194479.243956182,550309.811863457
"2497",194441.028940641,550393.060031698
"2508",191854.515317469,551649.041196521
"2510",195977.1879984,550849.170654862
"2511",192489.903439092,549898.770553725
"2533",189979.990024989,552722.237778015
"2588",195411.076899429,549073.93830547
"2592",195421.417302986,549065.485216821
"2654",190745.502753404,551935.631464737
"2667",195913.517873753,549443.193147768
"2668",193045.304310501,551526.437302812
"2669",196192.704905306,550291.34094698
"2670",196189.073310499,550307.125901802
"2671",191394.91813905,551844.074636722
"2676",195259.275292108,549051.237872079
"2677",195259.231013559,549034.63124737
"2678",190621.406706513,552982.90003097
"2681",189960.012489827,552761.627237092
"2684",189729.232409052,552908.641264515
"2685",191358.489591305,551249.850841383
"2686",191595.075559832,552467.417649935
"2687",191558.474520914,552437.688063021
"2688",191536.018492537,552430.498345166
"2689",191534.643248747,552410.092504233
"2690",191404.397488113,551176.024410408
"2691",191413.747319822,551169.111074199
"2692",191396.820700385,551160.219095731
"2693",191410.355244151,551152.49427349
"2694",191450.371113567,552319.49901538
"2695",195117.266949256,549160.389559204
"2700",191918.226759598,552031.091861982
"2709",191570.259192264,552005.947379032
"2710",191542.26104705,552000.53172061
"2713",190809.141154524,551933.925346143
"2714",192001.241386195,551987.031968184
"2715",190947.56892462,551900.479274324
"2716",191515.010213286,551943.197955578
"2717",192100.025713465,551918.834243404
"2733",192141.464200068,551814.040075694
"2748",192215.389330901,551776.314136125
"2749",195281.245553744,549032.33684767
"2750",191284.045907776,551750.158767486
"2751",192167.770331549,551742.627858762
"2752",190583.122908971,551710.234949546
"2760",190740.093106173,551757.367123227
"2763",195259.927202805,549192.084100089
"2764",195221.951426252,549067.759905696
"2767",192419.53188705,550838.710698514
"2768",196112.876635779,550836.36050739
"2769",192757.566191708,550645.804474829
"2770",194336.270223638,550644.671007058
"2771",194516.317886028,550640.293393902
"2772",192546.204787294,550623.152277705
"2773",192570.01412134,550612.621316667
"2774",192542.587404944,550601.450820911
"2775",192793.622832368,550343.19010535
"2777",191627.445575434,550596.780083555
"2778",191586.043120057,550285.087247224
"2779",193233.008811289,550276.566253694
"2780",192860.187006498,550267.012105948
"2781",192403.728244728,550831.281168816
"2782",193843.14235023,550587.526660047
"2784",194341.930792393,550576.788335464
"2785",192382.721645474,550570.242276852
"2786",196206.700564638,550568.068627674
"2787",196079.274025377,550250.114939779
"2789",196202.544379298,550559.873650458
"2790",193788.823193935,550559.346318885
"2792",193264.024789624,551154.73503796
"2796",191306.449850966,551107.024463293
"2797",191290.622828788,551099.592582604
"2798",191592.987912747,550751.051168825
"2800",194423.328264496,550528.783216396
"2801",194258.641873492,550511.901744535
"2802",192964.424420824,550141.766520807
"2803",196033.293002979,550135.600831602
"2804",196027.892735495,550120.621718657
"2805",192273.299162246,551057.575688658
"2806",191811.981241118,551602.911626937
"2807",192292.52103295,551034.539804475
"2808",196071.39216665,550748.390421146
"2809",191339.195941503,550507.082805764
"2810",196009.739997253,550073.037322288
"2811",190100.354469758,552623.50708684
"2812",194261.863114554,550502.289584402
"2813",191656.202126483,550504.948811102
"2814",192643.676038157,550487.692075519
"2815",192083.22542684,550474.053472779
"2816",195061.971490638,550075.082802101
"2817",193221.418155553,550992.359609575
"2818",193241.779003199,550993.804489393
"2820",191042.07789518,550957.41076088
"2821",194203.434005448,550473.197691585
"2822",194162.414259422,550441.909146591
"2823",193458.577486323,550432.573967597
"2824",191538.047163226,550928.215006364
"2826",196145.716338151,550417.769116916
"2827",194203.336956494,550428.087422972
"2829",191886.1458251,550400.200790555
"2830",194228.796364504,550396.118319405
"2831",196027.805605813,550020.985697701
"2832",192487.904310901,550712.196823175
"2833",192506.316696866,550711.567053809
"2834",194109.889543705,550389.330365389
"2835",190924.255569706,550701.904596503
"2836",192481.773073114,550694.564982093
"2837",192506.268605784,550696.103220886
"2838",194261.504321395,550371.899487205
"2839",193217.491269899,550688.487943549
"2840",193230.048124171,550692.444871311
"2841",196166.899403312,550354.367090284
"2842",194008.757456146,549982.80996531
"2843",193280.739489227,550853.344043284
"2845",193041.338541339,550683.019599948
"2846",194271.918504096,550673.61101659
"2847",191610.059649243,550677.681537645
"2848",195971.616740044,549978.571370561
"2849",192280.591419891,549960.326021536
"2850",192411.739288028,550843.714473753
