id,xcoord,ycoord
"0",193180.585114582,552649.853062782
"46",196889.979937145,551646.154837704
"47",192853.798456212,553416.958829327
"48",193580.530507485,553365.533439731
"49",193538.068614784,553326.574024218
"50",193532.912035749,553322.097630595
"51",193489.537791756,553286.980273651
"52",193485.013072284,553280.753240033
"53",193514.76990341,553244.605886859
"54",193541.223420152,553204.682499928
"62",193565.816298512,553171.683061297
"63",193600.911255107,553121.245750394
"64",193568.29581837,553094.861255218
"65",193632.290651657,553138.168909723
"66",193651.055890666,553157.532575849
"67",193655.788331132,553153.776797076
"68",193684.618603379,553173.853484135
"69",193717.342123324,553181.53789847
"70",193634.166822674,553184.298344027
"71",193615.69991634,553210.754467933
"72",193593.424411049,553240.680194594
"73",192005.782557417,553663.11166666
"80",194072.124346868,553489.236199042
"117",192350.229035445,552859.713221537
"140",192367.016601344,552880.686969395
"142",194310.953049598,552774.261422753
"143",194235.93002705,554112.165512483
"144",194393.824541517,554384.377415959
"145",195204.536100181,550948.609801196
"146",192367.189374307,552884.666934057
"173",197009.278106324,551791.671536012
"246",194885.410040708,554598.605916013
"247",194956.536711669,554483.66882666
"559",196861.105750606,551897.518533618
"565",196838.805345014,551941.936369161
"566",195049.896672527,554034.733824108
"567",196793.869889837,551918.404728434
"568",196658.548154955,551894.798346443
"569",196553.396184272,551908.138777136
"570",196720.688705941,551899.31192222
"571",196666.864723194,551876.022711527
"572",196639.404820877,551880.047948492
"594",196562.978665059,551898.006001443
"595",196559.480480913,551892.80588554
"596",196545.109472645,551888.838057944
"597",196525.911475092,551861.644002124
"598",196511.218641844,551851.28205465
"599",196473.361451806,551824.019603245
"719",194477.452484117,554353.412089667
"924",194810.556264333,551189.19070491
"949",195603.755730862,554083.315011118
"950",193637.153163978,553817.806704424
"951",195134.149338122,554879.452083923
"957",195459.353226821,555557.931931421
"958",196624.711743016,552123.848255147
"1168",195662.032481472,554086.808863969
"1380",195726.561539531,554746.839542773
"1381",195693.509270749,554802.90309585
"1382",195656.22638411,554842.730025105
"1741",193206.441294747,552650.200496607
"1762",194260.41066033,554675.587109527
"1839",195990.949187566,552616.614435166
