id,xcoord,ycoord
"35",201336.121918564,545067.485915362
"36",201323.332428897,545015.776878402
"37",200376.978465835,542594.48945522
"38",201323.123533769,545061.345120144
"55",203172.588358471,540109.677823301
"57",203132.742130892,540217.694259854
"74",203107.929785501,540205.599447163
"75",203034.49126285,540290.19294662
"84",203024.483860461,540284.612092741
"389",199790.572241328,542600.172524172
"390",199761.429019603,542783.208898274
"391",199649.294943808,542860.41780558
"392",199683.521989582,542875.658877142
"393",199737.523233708,543231.452807407
"394",199322.142083195,543406.851941663
"395",200986.386147329,543700.340085385
"397",201093.743489565,543777.444098792
"409",199793.449516849,542762.339110568
"421",201615.295374578,544256.338632613
"454",201337.647462885,545001.68658178
"499",200388.546993772,545151.469835361
"693",199780.727204557,542441.202220965
"694",199785.305985304,542424.289154042
"698",199798.743919079,542434.564362043
"710",199817.575451663,542440.482305591
"722",201500.630078662,543569.67477712
"723",201278.402801156,543412.888916491
"737",198411.950766826,542605.857860049
"867",199157.310503939,543687.928009946
"868",202321.326133709,543731.833537938
"869",202309.396453364,543733.96452467
"870",199314.769737797,543394.934792877
"961",198867.853472321,540923.976020512
"1023",199615.990238808,545033.652907519
"1030",199764.094622329,542458.664871341
"1031",199649.876799188,545048.891602015
"1032",199687.606515068,545067.15923268
"1033",199678.229642036,545064.0881377
"1034",199739.56689406,545101.822217444
"1035",199795.076952727,545032.707672945
"1036",199787.021541169,545021.09298969
"1037",199805.51098686,544988.518638974
"1046",199804.891048217,542447.914642218
"1086",201087.440294088,542289.866239357
"1087",201425.944076245,542904.994521371
"1088",201406.49409038,542942.28304956
"1458",202293.539603239,544242.016010021
"1546",200427.584290517,544192.178089639
"1571",203064.606445902,540290.970249007
"1616",200869.49059666,543674.854502669
"1700",205758.415334547,539527.57823433
"1744",203114.285580032,540385.46685424
"1791",200610.661806204,542004.065588734
"1974",202550.841507167,543098.2514829
"1994",203205.734214656,541644.587877782
"2002",201576.069861024,542538.533964907
"2013",202370.292831742,540743.903487875
"2014",203231.391727214,541674.930044081
"2017",198899.786645448,542550.928016088
"2033",201137.952043351,545645.22220389
"2034",199956.003199888,545463.198838051
"2068",200933.643874962,545637.485689893
"2073",200332.356058444,544805.438855257
"2381",201717.577662747,544217.091603512
"2382",201717.091839866,544229.031819355
"2434",203519.462419183,542138.308942427
"2509",199145.259054548,543694.250563233
"2736",203473.928861481,542081.924174193
"3168",203827.829487365,542301.99862164
"3169",203831.573338909,542290.352429943
"3225",201804.756336669,544212.454238858
"3426",199229.842348157,541665.824502889
"3590",200375.150724652,545231.462718728
"3608",199485.498364188,541592.860381692
"3609",200360.227933347,545233.392103906
"3618",200066.746894404,541946.369697213
"3619",199988.528780446,542056.986525737
"3628",198565.09824613,542905.990189214
"3696",198885.026314122,541769.489932372
"3699",200414.699703051,544833.563704839
"3700",200429.423710342,544838.052725898
"3701",200491.558870895,544879.918650714
"3702",200533.314483447,544889.656693916
"3703",200520.796406144,544898.89016979
"3704",200587.746390955,544932.994390058
"3713",201013.849157113,545491.883776108
"3714",201015.632173093,545478.270763547
"3715",200940.406099866,544878.097050761
"3716",200962.609102887,544888.80566044
"3717",200922.671419244,544876.771352949
"3719",201026.989382602,545431.149451559
"3728",201091.255430164,545448.288829696
"3729",201046.319208994,545528.627181527
"3730",201065.751290506,545562.072280198
"3731",200913.704483284,544870.546236684
"3737",198903.249004896,542019.610698993
"3738",198949.550293172,542049.601227951
"3739",198983.119911936,542072.969612699
"3749",199124.348091861,542159.672644691
"3752",199497.956987536,542344.738382056
"3762",199559.72934645,542338.812539547
"3763",199608.71079683,542387.097596068
"3764",199615.76056048,542364.37160511
"3779",198786.135560745,543838.222124683
"3780",198786.540881196,543844.732088005
"3791",198773.255344943,543841.917112188
"3811",199344.015553737,542482.673251334
"3820",200268.224241714,541824.185937526
"3829",200361.713386291,541880.256697648
"3830",200396.668773132,541904.026428768
"3831",200641.423609201,542024.019527292
"3837",199675.95243669,542403.922660695
"3842",200112.533685247,541870.739540359
"3847",199277.155910687,543075.644000111
"3853",200076.822764717,541930.436175761
"3854",199780.923769498,541552.610772402
"3857",199095.283194799,543007.628629402
"3858",199088.815695201,542981.740966554
"3859",199064.055017449,543008.324655326
"3875",198744.981228283,542936.689416486
"3881",198774.373837104,542934.846859178
"3882",198767.321343848,542951.668161719
"3883",198763.157618426,542907.10586626
"3889",198437.625939914,542778.060164305
"3890",198433.015974807,542719.145531702
"3901",200705.155780734,542052.104916876
"3902",200733.473435612,542109.841320925
"3903",200781.966663492,542142.616487976
"3904",200780.478964418,542097.127343075
"3905",200814.632808703,542117.807236001
"3906",200356.186897095,542963.376602302
"3907",200373.529253049,542958.763348359
"3909",198423.966447819,542439.427011802
"3910",198417.375954074,542346.605285557
"3918",200188.534287812,542551.181256835
"3919",201016.032199458,542243.831115841
"3920",200192.51142398,542525.478277363
"3921",200186.645850669,542530.34678754
"3922",200348.682954687,542898.475458637
"3923",200936.680389422,542243.179686359
"3924",201044.613074466,542309.972992697
"3925",198414.622763465,542213.675295149
"3926",198414.634872017,542185.788064396
"3927",198408.588711064,542163.666127124
"3928",198406.696860505,542101.892836723
"3929",198448.347110084,542431.909939231
"3930",199888.907753753,542261.748887028
"3931",200398.50682135,542564.976551754
"3932",199908.548688823,542255.735774874
"3933",199940.575093424,542146.281297546
"3934",199960.53009566,542155.591393129
"3935",200443.656036411,542458.411835531
"3937",199983.290931992,542461.0223113
"3938",200520.305572225,542257.898845772
"3940",200391.248379976,542610.403423578
"3941",198471.652205284,542435.786470185
"3942",198454.163852082,542419.774962359
"3943",198462.793056775,542422.374253428
"3944",198467.474858587,542349.966896501
"3945",198443.050383772,542344.919642412
"3946",198447.272414273,542334.942227611
"3947",198457.582924812,542331.923776594
"3948",199992.854992612,542042.265730002
"3949",200044.812834965,541690.102885369
"3950",200171.187783205,541755.051444799
"3951",200145.16377628,541761.155360429
"3952",200131.937055405,541830.796611916
"3956",200526.119635989,542605.595108242
"3957",199216.45875544,541683.157345001
"3958",198445.376422508,542222.986413632
"3959",198457.513252768,542225.253850401
"3960",198461.746491196,542215.473260257
"3961",198463.911590104,542103.772901923
"3962",198480.134258527,542087.527153889
"3969",199365.725398123,541632.038750401
"3970",199076.16736594,541728.424580563
"3971",198987.817778669,541760.343413698
"3972",198987.152241452,543626.420712677
"3979",200106.907936845,541820.802156124
"3980",199475.54529844,541601.652067971
"3981",198501.459843696,541952.83128707
"3991",198936.141263498,542072.16467716
"3998",198881.354219344,541798.537672241
"3999",198785.628041926,541946.285735043
"4000",198788.745200462,541964.807735147
"4001",198822.820554475,541993.010704778
"4002",198836.021500632,541994.763022412
"4007",198401.066541496,541981.097106564
"4008",198466.451675903,541973.251022731
"4009",198467.785571901,541959.435982276
"4010",198480.797760388,541972.170122185
"4011",198813.737390779,543694.982167671
"4012",198809.062885806,543682.612735161
"4013",198821.314124601,543688.382720596
"4014",198870.069406177,543455.29254593
"4022",198765.429343886,541877.384981281
"4023",198762.413146907,541852.182970287
"4035",198820.731156872,541949.027755295
"4036",203538.85450706,542128.097573175
"4037",203548.272204618,542177.417420956
"4038",200514.476469088,544000.008905719
"4039",200576.997376504,543871.77781485
"4050",200759.284633905,543409.528730785
"4051",200826.539071273,543219.547361064
"4052",200878.103997891,543071.359273388
"4064",200910.562320662,543074.202919296
"4065",200890.992757011,543048.025385497
"4080",202458.252265092,543353.977823874
"4092",198975.307768874,542095.542657862
"4093",198979.689398608,542375.802851618
"4111",198490.727273588,543639.882488261
"4127",198490.763980077,543698.375492508
"4128",199618.823515758,543197.157901355
"4136",200413.45558719,542514.585266362
"4138",200455.932552178,542451.815299417
"4139",200442.493669227,542440.070918353
"4140",200483.570020065,542380.987190007
"4141",200494.238593192,542356.627501
"4152",199801.930114701,543949.401771712
"4153",199110.644672647,542928.984398384
"4159",200534.732729293,542195.178699428
"4160",200578.68502998,542087.098929493
"4162",198574.777333782,542049.04243597
"4164",198430.841038301,542590.890798346
"4183",199328.636905332,543794.033364584
"4185",198953.313733678,540740.329934028
"4199",198571.930244295,542980.916651776
"4200",198569.279667631,542997.664051229
"4201",198682.944195778,543111.112680343
"4202",198702.066449512,543115.780681373
"4221",198679.04288308,543128.819287322
"4222",198641.544173587,543039.562341452
"4223",198763.387185832,543109.951624845
"4224",198757.493430299,543112.359477077
"4225",198771.143204087,543131.511436665
"4226",198759.537381891,543136.103885766
"4227",198927.845472488,542938.423101285
"4228",198865.887942863,542928.784308464
"4237",201094.403933243,545588.233600898
"4246",198962.933735918,543232.120676208
"4248",198616.892617582,542894.007656632
"4249",198667.274968959,542902.786217378
"4267",198698.556442633,542906.634520037
"4272",199227.186754609,542713.695426968
"4273",199167.190877654,542839.162473096
"4287",198991.767832058,542950.056588046
"4288",199045.72916302,543068.617209694
"4289",198564.832633736,544219.825759882
"4290",198687.252269933,544233.374162646
"4291",198702.056245094,544237.242011041
"4292",198724.464789329,544129.840223185
"4293",198710.433890247,544123.605174762
"4303",198719.531015196,544120.291670571
"4304",198752.037355003,543978.006578427
"4305",198754.689381159,543987.58539219
"4306",198744.39077223,543980.090813015
"4344",198952.918703692,544664.942743198
"4357",199074.592215775,544695.868890463
"4358",199074.02602636,544724.75696381
"4359",199172.965079982,544751.711365612
"4360",199372.156289534,544807.051024191
"4383",198836.18595298,543622.799418759
"4390",199859.584645754,544262.616144232
"4393",199777.188224055,542464.642630967
"4401",198568.530608862,543481.607609474
"4402",198805.619812111,543290.562220022
"4403",198747.766347755,543218.631991334
"4404",198760.789107115,543194.453189964
"4405",198827.822974061,543300.925417529
"4406",198896.642972455,543358.926989644
"4407",198488.451421655,543574.548865847
"4408",199844.906115632,544084.50105528
"4409",199833.130671001,544074.611649358
"4410",199846.265643922,544074.412377788
"4411",199836.024693685,544058.547253012
"4412",199824.112888558,543962.770592686
"4418",198487.791259082,543493.715585101
"4419",198482.897988559,543340.007894966
"4423",199827.580468655,543952.0896459
"4424",199997.436178572,543924.619979924
"4425",200070.954299733,543891.302632971
"4432",199020.229886048,544006.35504564
"4502",198820.306143938,544707.939088976
"4503",198828.887711519,544668.307744595
"4512",198851.061143937,544664.088705392
"4513",198821.554100934,544630.233779654
"4523",198751.65140158,544591.467198914
"4524",198724.084028665,544545.98165718
"4534",198667.115151844,544345.232602396
"4535",198679.198810372,544329.840021669
"4536",198677.982553563,544324.498360171
"4537",198648.698477684,544327.72975483
"4550",198863.77411258,544287.817552853
"4879",199890.110548171,545709.478159063
"4880",199885.104749285,545722.35744157
"4881",199824.286859239,545674.395557033
"4882",199815.202800161,545689.250643619
"4957",201724.273435727,546224.774839034
"4959",201738.005041871,546142.336405352
"4962",201799.632386782,545955.716828888
