id,xcoord,ycoord
"126",203620.360818263,551124.734896622
"127",203657.575346886,551296.860981642
"128",203662.420362026,551328.671963589
"139",203669.449651114,551364.485965636
"281",202700.230050356,550885.035056295
"282",202687.136573409,550874.428268427
"283",202722.395206109,550879.430019737
"284",202928.003500008,550780.718389009
"291",204586.325711833,549162.050227788
"292",204591.07588686,549177.901282766
"293",204615.17111463,549213.869383273
"310",204581.786010302,549326.303170198
"311",204521.629565103,549193.147298137
"312",204526.795434299,549177.37286708
"313",204507.192137006,549160.920769016
"314",204504.698806686,549167.481147431
"315",204657.305147456,549171.222165711
"450",205340.979765959,548543.982272834
"451",204262.326110799,551286.602081218
"452",203145.139573139,551601.28117236
"1025",202178.81297979,550763.581361288
"1038",204302.644123501,549717.536502171
"1050",206202.714964284,550430.770477082
"1051",202908.673326113,551889.613545304
"1052",202959.562921916,552087.970940568
"1053",202975.438948408,552105.987164855
"1054",203094.100814841,552011.742894912
"1082",201517.021160017,549245.524735405
"1083",201483.902727737,549235.531204059
"1084",205608.158510759,549655.439873376
"1085",201714.032131592,550137.207993303
"1102",204316.852145138,551431.152475772
"1457",202968.420773978,550662.748260369
"1471",202992.103367545,550708.997659061
"1472",202973.96510206,550739.184819789
"1473",202943.919376374,550626.837872763
"1521",203732.866856628,549215.563941253
"1537",203042.972653271,551700.019844313
"1597",202955.764647036,550762.232679569
"1598",202829.283695656,550567.366982751
"1599",202795.565518665,550545.367287923
"1600",203908.810744902,549539.644346538
"1601",203860.1977611,549553.223998323
"1620",203831.979096579,549557.590384726
"1621",203824.671365303,549508.010041569
"1622",203817.694370959,549520.450001939
"1623",203787.885055289,549370.294995782
"1772",203586.005593202,552092.752458784
"1868",204973.478156362,548769.703505976
"1878",201327.373209382,549331.57828506
"2168",203422.72253705,552452.363221038
"2171",203435.859268708,552451.778144182
"2931",203673.709247231,551735.548845555
"3075",205113.376768808,551463.088068513
"3419",205336.714612253,549290.921450951
"3420",205344.295783767,549320.370798927
"3433",205136.008550654,549808.255591222
"3508",205312.902156022,549859.567916019
"3565",205553.687300025,549479.84705954
"3566",202745.38037957,552028.45818117
"3567",205689.807299418,549438.300094523
"3570",205700.766326379,549433.894381476
"3584",204554.039226171,548735.020619317
"3585",204273.036575351,548797.145530647
"3586",204360.132622632,548764.996433687
"3605",204547.499886463,548720.278064228
"3638",203199.195955607,551693.50906712
"3639",203225.319990387,551692.757335299
