id,xcoord,ycoord
"244",202599.246662945,553708.886689335
"317",202580.494647072,553673.238539802
"319",201680.773632305,554844.588054854
"328",203586.005821205,556919.780000625
"329",203578.271948812,556836.639697812
"330",203558.293616468,556788.159339094
"331",203492.847459377,556578.725853807
"332",203462.969909755,556553.062940928
"333",203433.433775873,556657.335473059
"334",203396.087910289,556698.273300212
"335",203381.865817222,556714.35115227
"336",203392.185747486,556711.37429943
"424",202683.750432092,554631.410241811
"425",202450.516876399,554820.966553874
"458",200753.25777113,557460.136067354
"520",202579.330477349,555598.405269426
"523",202728.979798906,555619.383856349
"524",202741.323472934,555619.205304274
"525",202743.470831197,555611.807975631
"527",202843.220056641,555558.672151473
"528",202767.0942948,555639.166758514
"529",202843.860520827,555519.021199629
"530",202815.557684932,555507.421956285
"535",202891.407006737,555577.191413754
"536",202892.806646879,555585.759138941
"537",202904.171007552,555571.363334937
"538",202908.649547579,555588.73573752
"539",202965.506888738,555591.11638857
"540",202965.366708209,555600.907106977
"541",202972.856386294,555586.490156631
"542",202974.163636359,555593.228345529
"550",202940.229426378,555583.085743923
"551",202912.533553849,555531.252977279
"552",202898.063405798,555515.501626411
"553",202903.222691249,555470.526090905
"554",202911.886602331,555460.393552043
"555",202916.323458866,555469.840606367
"589",202661.943455762,555410.026961661
"591",202590.275449393,555390.026404216
"592",202596.959531662,555399.10849613
"593",202813.442341737,555361.207394567
"601",202574.422272314,556476.156559223
"602",202752.079720236,555354.523253197
"603",202990.966990578,555596.245983134
"606",202569.818055385,555585.634624145
"607",202578.290839169,555564.301439717
"608",202596.136077869,555554.136895429
"609",202601.051647246,555510.50194701
"610",202595.137893075,555504.981761618
"611",202616.004922308,555506.597251843
"612",202661.829617464,555520.659313987
"613",202614.640292896,555369.800543408
"614",202630.556284661,555367.808704952
"615",202675.763331641,555380.80634057
"617",201680.44924597,554614.646772917
"630",202666.625896622,555389.669240306
"631",202796.642360885,555362.766408514
"632",202773.040401405,555330.599930161
"633",202765.678176926,555335.148288291
"636",202635.623778864,555707.802222585
"637",202642.81208245,555706.998879466
"638",202637.107184069,555695.627398207
"639",202631.931140747,555693.036783413
"640",202670.498569475,555676.299709248
"641",202669.244077711,555669.078047106
"642",202712.527263503,555670.851395919
"643",202723.757652745,555679.903524127
"644",202729.331459886,555715.518838506
"645",202721.533179271,555708.346862926
"646",202714.05170733,555650.600718219
"647",202716.813757223,555644.217939141
"689",202709.300930614,555361.07541275
"690",202705.103989386,555358.825078146
"691",202685.051247267,555331.146356213
"692",202661.883518739,555333.93744213
"960",204220.06310606,558028.699391418
"962",204232.562118905,558040.619335999
"1014",200832.437373847,555607.041868574
"1192",199885.339321973,557595.39547613
"1202",202644.756919782,555802.097241828
"1351",201571.60000474,554472.508667574
"1352",201560.697488726,554464.653136975
"1383",200929.952601643,554229.546660647
"1384",201846.294233964,553778.969991558
"1385",201848.646354666,553788.61199142
"1415",201855.950150674,553778.819249129
"1416",201856.697991956,553784.579312967
"1417",201886.380468697,553796.871726052
"1418",201889.102874986,553804.134365981
"1419",201895.591675105,553803.492922172
"1420",201894.475617914,553794.561857744
"1421",201865.122316891,553893.271928447
"1422",201830.834648835,553836.258256122
"1423",201814.769476287,553877.133346547
"1424",201828.765211224,553848.625082827
"1425",201840.865713763,553791.25102759
"1426",201774.764501725,553866.37379018
"1517",202409.358908808,556245.636728003
"1760",205889.07329316,556800.507911261
"1761",205889.943046843,556779.206684433
"1766",204708.303277008,556571.068139348
"1780",203326.593712704,556026.338092767
"1784",205895.547667587,556788.190668447
"1786",205910.335231928,556731.583893314
"1787",205919.894861297,556735.716703435
"1788",205928.606524936,556732.361054912
"1789",205936.89425503,556738.624382826
"1790",205932.377917987,556806.953855425
"1792",200576.708023055,554320.45547621
"1794",200531.907553433,554366.352462635
"1800",201731.083385918,555137.130749852
"1801",201764.656938295,555111.547462025
"1829",201478.4798943,554733.369283715
"1830",201591.788889755,554881.640005065
"1881",201513.174007825,554406.685692363
"1892",204752.018441561,556495.887382963
"1893",204732.39622298,556525.011600921
"1894",204914.363951375,556663.836548543
"1912",201532.55944761,554437.76973267
"1913",201540.503441967,554439.565582214
"1929",201517.676392999,555927.067792266
"1930",204050.725925114,556192.897868125
"1931",204063.180851691,556200.677124276
"1932",203389.198768672,556209.992960778
"1945",202173.83133563,555871.612131841
"1951",203290.695800466,556562.291274223
"1952",203279.89539847,556543.619303978
"1953",203227.401243432,556529.574277878
"1954",203385.310988548,556557.820136009
"1955",203369.652665302,556557.813649483
"1956",203478.774331615,556536.402244792
"2012",200685.84864323,554407.740646626
"2042",202256.669510562,554065.553125949
"2055",204277.609620647,557819.59075179
"2056",204212.006752237,557903.1028639
"2057",204204.222715798,557915.740766747
"2058",204198.16466239,557907.73894906
"2059",204158.493331579,557969.930004923
"2060",204148.248082898,557982.385911536
"2061",204136.303548988,558007.592360811
"2080",204164.641978019,557731.896189175
"2081",204110.418032141,557663.640187184
"2082",204049.600539805,557703.927736011
"2084",204277.654771162,557794.601700466
"2085",204221.413333058,557776.479413871
"2086",204023.187776794,557939.254505055
"2087",204145.393950133,557865.17733743
"2104",204159.274745374,557870.031888265
"2105",204156.089822293,557860.700435404
"2106",204175.748074698,557894.019512709
"2198",201492.07380436,554561.658461323
"2216",203544.830169311,555762.12950861
"2217",203643.58790358,555837.6302093
"2218",203455.338696494,555886.961961824
"2219",203462.878319344,555860.74963477
"2220",203680.309197374,555871.054387266
"2221",203665.518784064,555877.357038551
"2227",203517.765439418,555858.683360265
"2228",203494.765526157,555819.165763094
"2229",203539.368197942,555773.540084209
"2230",203582.884708521,555850.627276071
"2231",203559.577813036,555646.273942029
"2232",203611.85919135,555700.193384546
"2239",203682.954005029,555604.294073647
"2240",203649.386765019,555607.878329926
"2241",203670.598728241,555616.068203051
"2242",203673.913516064,555623.261129981
"2243",203630.764956736,555610.934785937
"2257",201856.192537746,556780.381294961
"2260",202055.173948958,556576.502193652
"2263",201926.598595904,553811.820435856
"2359",198605.71269864,555208.871826684
"2360",199223.489428665,555008.7786811
"3351",201145.691217963,554010.430980899
"3464",201176.406578994,555903.060688047
"3465",201199.944793864,555903.923751931
"3473",202312.276655193,554670.215856685
"3475",201167.737400506,556015.684227333
"3645",203146.197839409,555211.721055047
"3646",201262.023226617,555479.504856505
"3647",203130.596863457,555283.159063975
"4213",201980.298477319,556153.175120147
"4214",201956.813561407,556238.721113069
"4215",201944.177577138,556239.897543682
"5515",200179.477020381,556901.380077439
"5517",202243.292983884,554125.522621565
"7779",203158.340364538,555147.707257636
"8581",201067.107017898,555735.620009742
"8972",201151.762315551,554025.932498618
"9614",204150.556158802,557984.443566431
"9722",201434.973711227,555619.122647124
"9804",202036.868131024,554259.550774297
"9876",201465.107611153,554162.766594609
"9877",201565.440842234,553917.8059713
"9878",201570.637867036,553756.22555016
