id,xcoord,ycoord
"86",207125.121161812,545553.124923293
"88",212460.352263911,543960.527810138
"91",206901.924052091,546060.678276032
"99",211073.820091098,544790.88498116
"100",211096.462370465,544792.742564401
"102",213199.541795433,544633.626256233
"105",207464.466088023,546041.634975705
"106",207405.865660004,546103.923010563
"107",207387.794126803,546119.784993037
"108",207320.340708238,546160.00898482
"109",207286.427845455,546178.017453125
"110",207170.368445101,546205.576948289
"184",209982.70088568,548443.380594758
"185",210000.749503022,548437.568334172
"186",210033.307605538,548424.617615598
"187",210087.143592966,548417.155041312
"188",210158.206025509,548392.57025363
"189",210151.856092658,548380.073606248
"190",210191.645598681,548379.753826618
"191",210227.187619211,548368.265083377
"192",210224.593279944,548354.997714602
"197",210253.086714521,548346.673887314
"198",210288.295117238,548333.11506616
"199",210284.583590245,548334.584515787
"200",210284.692126341,548335.180009945
"201",210283.151640195,548336.120183278
"202",210312.297269735,548323.372076036
"203",210322.875644429,548331.65963089
"204",210341.532988971,548313.256955305
"205",210386.207661265,548298.149755306
"206",210413.505707425,548286.12946756
"207",210433.933233687,548281.579159555
"208",210445.529425525,548287.851434447
"209",210495.537634546,548269.179311387
"210",210490.782647188,548260.499779918
"211",210525.873290694,548260.758035726
"212",210527.054678977,548249.361637606
"213",210635.316086778,548222.06652946
"214",210657.867345166,548215.105029821
"418",206592.299694078,546541.280614189
"483",211686.897633027,542029.860118091
"484",211416.710796169,541903.548622689
"485",211312.055629178,542002.910022168
"486",211517.373984582,542068.921547599
"487",211520.020723764,542099.011530875
"634",211487.190349102,542409.233953716
"664",211600.858946483,542602.540379881
"678",211656.99136197,542904.804617219
"679",211649.480861975,542919.195635021
"680",211617.532911997,542858.271217725
"688",211681.404931511,542210.632662845
"700",210021.347768068,546981.866954448
"701",209825.29462881,546780.570635602
"702",209903.917674649,546785.824974206
"703",209915.905015187,546792.741072006
"704",209875.057751179,546791.675420992
"705",209332.048831374,546887.537022428
"706",209382.35866487,546923.549683202
"707",209388.818661408,546931.67562367
"708",209578.940572569,546963.310827759
"709",209675.5407674,546993.976061253
"724",209125.640754906,546900.798246467
"725",209114.960851409,546908.598715365
"726",209755.714909873,546996.2548806
"727",210022.840937186,546994.990113375
"728",210054.08664749,546864.178160709
"729",209996.694836991,546821.241468645
"730",209970.089164538,546802.393758454
"731",209617.415153761,546753.820920437
"732",209995.390947349,546853.960653141
"733",209360.623302627,546744.442730296
"734",209364.171638686,546735.706962843
"735",209375.607973689,546741.663962502
"742",209374.101907913,546751.810019712
"749",209264.596972535,546583.136120213
"750",209252.15196663,546579.911787439
"751",209295.044470035,546596.973178855
"755",210062.945828982,542642.808753153
"768",209914.221029116,546697.839382177
"772",209275.045050263,546593.282950232
"773",209548.354810319,546737.810997669
"774",209522.828987451,546730.394191328
"800",209515.429276791,546953.030959668
"801",209482.471822092,546950.048827941
"931",208903.965656879,544824.160506771
"1018",208725.725467658,546500.481817323
"1040",209719.684396229,546992.183335913
"1041",209862.406697556,547001.170358406
"1042",209852.08235259,547019.002239445
"1043",209826.697597015,547006.96292188
"1044",209955.568646702,547001.676687933
"1045",209960.90818154,546997.613082366
"1237",210929.724352794,542141.607823838
"1238",210861.127464541,545986.553749808
"1239",211253.127764133,544817.700967086
"1240",210557.769706785,543789.633219433
"1241",211096.086677267,544808.572548937
"1243",211013.629264792,542152.379779971
"1264",209861.383244078,547071.229874239
"1265",209350.439719364,544995.112138255
"1266",207767.407470409,544539.222291939
"1267",210760.071605797,542094.610444527
"1306",213649.450293159,544247.658696316
"1307",213651.773260382,544233.23165646
"1308",213713.790751834,544251.406642929
"1309",213780.038660459,544226.807560786
"1310",213763.662907944,544273.127631513
"1311",213849.721014655,543645.908215691
"1312",211631.862931458,543193.791515725
"1313",212614.157011337,544730.07755107
"1314",212625.933018714,544732.849651366
"1315",212130.655678156,545113.43691349
"1316",213783.526706481,544268.591821773
"1318",213798.888490603,544294.621049586
"1319",213781.603995019,544300.842023005
"1320",213814.836685485,544330.17430668
"1364",210747.013849434,544201.866760401
"1365",211124.797455249,543648.010302962
"1367",211333.708002383,543361.091334141
"1369",209883.671115623,547972.229803084
"1370",210152.156130786,548659.865282916
"1371",208139.217413778,544737.674394924
"1372",210526.984361291,543817.099046699
"1374",211092.904751632,542219.516149908
"1405",211691.229313396,545196.138429568
"1406",211691.181609605,545269.587891699
"1408",210531.331006794,543817.143915633
"1409",210534.561321783,543825.072876989
"1410",210525.062116105,543826.369210861
"1411",210497.844328365,543859.013600562
"1412",210502.969695801,543867.266397931
"1504",210290.07678593,545325.574709577
"1505",208592.754618173,544914.930557115
"1506",208568.947857049,544860.682871881
"1510",212855.57032216,544392.228689027
"1511",212832.212388429,544391.833291981
"1512",212811.242358567,544411.099708844
"1513",212778.073607847,544460.00641266
"1535",212523.754796935,543882.820869855
"1536",212607.796518298,543829.278039359
"1542",206251.682173991,545705.199436053
"1816",208590.419699106,545155.641629126
"1845",210231.086657469,547718.206516602
"1846",211042.495560512,542596.713397692
"1898",211819.632296505,545526.975276613
"2049",207342.850460069,545146.066759889
"2050",212872.595409316,544020.239990752
"2209",210679.848760554,543257.465581628
"2283",209844.453012071,544553.476281828
