id,xcoord,ycoord
"1",194772.487258208,546710.085064237
"2",194750.135062955,546619.356141532
"158",192001.564912575,546140.444090803
"237",194750.984078757,546787.12380962
"355",193276.938564425,545581.79548411
"365",192701.474222239,545285.282481665
"366",192656.52196647,545182.918975488
"432",190886.416011054,548349.486248246
"600",190915.008559322,545917.295549641
"652",190141.212224426,549463.754447224
"653",190262.780710915,549566.876784592
"654",190244.234052941,549513.957486768
"655",190239.873879098,549565.739686128
"656",190230.626760161,549573.032176474
"657",190346.416369448,549593.848736468
"695",192992.605289305,544998.199901768
"699",193045.911953922,544850.505462639
"966",192280.170139271,546784.845834562
"968",190132.958002544,546732.615550571
"969",190034.727119488,546751.489682589
"1017",191975.579847347,545157.442837356
"1026",192577.771912992,545149.368058996
"1027",192709.989741263,545329.312922815
"1039",193115.922468326,545187.180900515
"1197",191243.959635763,548314.011580353
"1198",190526.459513797,548770.345356684
"1210",191189.266382951,548066.143325452
"1220",191554.244155121,546231.110327358
"1222",191527.885234182,546218.715647976
"1292",190250.181473086,546960.575935458
"1293",190342.64601897,546701.247021509
"1294",190361.216184986,546681.114529584
"1295",190496.593008613,546657.880544729
"1296",190586.205215696,546639.180572152
"1303",192871.233465008,545606.684132205
"1304",194145.490821677,546588.539550931
"1324",190231.032725196,546783.546055065
"1326",190196.23466181,546492.309699648
"1376",193754.28655849,546846.476458566
"1442",192448.20360998,548221.506531342
"1476",194662.901960879,546537.689963195
"1477",194700.709418256,546561.652157201
"1503",194467.340336466,547057.77216101
"1547",190834.265474638,545483.922811202
"1548",190817.55113341,545462.337758397
"1549",190837.228940682,545462.519114094
"1567",190920.02382249,543223.310708116
"1568",190454.4803807,548112.323611748
"1569",191068.565425895,546844.037639962
"1570",191063.527946139,546817.651929655
"1572",192732.739730794,548139.925831385
"1578",193323.236899301,547349.848056526
"1579",193310.832978854,547315.614482073
"1580",193340.141022762,547266.360048341
"1581",193358.769292278,547263.334553399
"1582",193367.894093561,547254.754798416
"1610",190142.202709988,546807.701586433
"1611",193475.669203411,547435.281878757
"1612",193480.16043686,547455.571692717
"1613",193580.827192019,547300.413123202
"1614",193486.557771778,547339.345599716
"1615",193470.353177897,547334.271586884
"1625",193328.96657925,546536.05764734
"1636",193541.537802556,547292.073817128
"1637",193522.878553103,547276.663366675
"1638",193508.836092434,547269.975769574
"1639",193408.208665751,547291.957458826
"1640",189923.137658735,546772.41031354
"1641",193402.037038764,547187.226182534
"1642",193439.979140474,547211.22500908
"1653",194692.589452154,546799.387439585
"1658",192267.826556003,544407.508687324
"1659",192291.539649046,544397.697187388
"1661",192477.554792087,544346.194078858
"1663",192370.94354149,544363.409432831
"1664",192415.380396618,544356.275433114
"1665",192279.271070671,544383.274049232
"1666",192288.41821309,544303.147345492
"1667",193515.434772899,547379.269169639
"1670",193421.066371268,547190.859751373
"1671",193422.954360818,547171.401566935
"1672",193508.905315032,547240.703713095
"1673",193568.053489082,547146.051037333
"1689",193990.210124359,546830.464344186
"1690",193985.485412921,547044.595351357
"1693",193307.78611497,545665.798987096
"1696",192369.283199839,544344.407566521
"1712",193007.695810303,544732.959120588
"1713",192987.301320828,544671.950585879
"1714",192951.807422757,544550.505934368
"1715",192606.618250327,544591.812686526
"1716",192625.536015533,544629.170151317
"1717",192576.82744536,544871.322988277
"1718",192586.192087552,544896.587052677
"1719",192594.704575966,544932.197928764
"1720",191249.006149787,548499.770243158
"1721",191228.26505618,548465.397978413
"1722",191215.799113141,548457.227409431
"1723",191200.834211256,548419.566811005
"1771",191025.029958609,548525.491031254
"1776",194195.296225274,547206.12431932
"1799",191077.260718534,548490.294146534
"1837",189953.727959134,546892.997082458
"1850",191609.604130109,546723.617099226
"1851",190022.910349542,546750.790498443
"1852",190104.492582346,546636.708791077
"1866",191458.694646781,546531.592789972
"1882",191521.959209626,546511.880266018
"1883",191469.267922667,546518.162768703
"1884",191409.26432933,546521.860612935
"1885",191383.089398497,546522.361347039
"1895",191338.02702682,546558.158835978
"1896",194091.46385558,546707.753517218
"1897",194068.252139712,546688.371244797
"1900",193756.509965758,546487.557525912
"1915",191326.239851013,546459.723036903
"1916",191367.765117733,546453.083116491
"1917",191383.648446361,546503.845032533
