id,xcoord,ycoord
"21",197516.876717242,547170.851092602
"23",197501.026668323,547095.977458298
"25",197532.970451056,547155.885236777
"26",197538.393362353,547160.68518174
"34",196360.072064673,548858.430737113
"40",196768.175140414,549652.732014777
"58",200687.418516874,547936.927976816
"60",200686.773367833,547923.26977804
"92",196662.679335895,549077.082327694
"321",197413.547261641,548942.153143917
"322",197414.021511717,548768.392004464
"327",197409.70161483,548727.502508709
"909",197022.076860864,546923.039405731
"1055",197061.047759306,548271.338397776
"1056",197124.343843426,548322.697217596
"1057",197055.581303728,548339.631849968
"1058",199724.209533325,547846.901053365
"1059",197962.210888956,546763.006258907
"1060",197060.177849948,548322.1558992
"1061",197046.591963465,548317.808712347
"1062",197140.018034652,548318.653802191
"1063",197009.871074546,548653.232202483
"1075",197739.440960608,546858.503607298
"1076",197672.201452948,546885.058953827
"1077",197495.330164364,546957.325250987
"1078",197459.591314567,546962.426912208
"1079",197451.491686573,546973.363661897
"1080",197448.224772314,546959.720291937
"1081",197455.615373504,546952.236195105
"1317",196656.272177512,548354.382665724
"1325",197820.982097611,548143.37493967
"1373",200690.258737097,548235.382212392
"1407",198351.875609699,549693.327955324
"1431",198345.215858825,549679.760823335
"1496",197176.326607611,548650.828414985
"1678",199429.996553012,547272.862904295
"1679",199440.649967635,547279.866973799
"1680",199504.893715708,547291.38403112
"1681",199578.313851063,547305.718244281
"1682",199580.77280633,547300.935983765
"1683",199592.998121139,547313.540402149
"1703",199589.145235773,547314.739331817
"1704",199625.412703203,547308.728408837
"1705",199636.781783682,547295.412948084
"1706",199643.999994309,547313.123181759
"1707",199677.842279754,547363.12913601
"1708",199687.084676039,547370.595852128
"1709",199662.696749738,547387.129041112
"1710",199586.540577687,547437.250350844
"1711",199568.638494084,547438.193594508
"1764",200994.179763802,548475.333196984
"1765",200998.019292075,548594.147611546
"1848",196665.496411759,549700.969918563
"1989",197324.716368974,550010.151400874
"2027",196637.895449531,549081.079172817
"2028",196643.357749865,549116.698173389
"2029",196662.262132619,549110.108929291
"2030",196662.218253467,549140.793781707
"2035",199496.9029691,546609.755454837
"2041",196662.348048312,549337.930238007
"2043",196673.129764178,549363.057311209
"2051",199442.328362627,546813.219429853
"2052",199438.809449923,546839.787221093
"2072",199462.430571618,546878.44198195
"2074",196754.550120077,549654.467490377
"2075",196590.060540788,549703.630970422
