id,xcoord,ycoord
"27",193851.652266088,560318.670849176
"28",193848.159675661,560284.624787726
"29",193865.474781292,560303.264469334
"30",194515.067577799,560168.48130719
"39",194308.525787264,559932.67770039
"41",193070.666964241,560397.400173552
"42",194293.437438423,555853.585346768
"59",194292.908580713,559776.381436498
"61",194097.323215004,559526.7666859
"85",192432.665792174,560406.14487751
"93",192800.956606762,560020.386317029
"94",193059.875271,559459.924519302
"95",193122.397300236,559415.474691127
"96",193954.514715859,558804.635693914
"97",194178.250541858,558743.854813215
"98",194196.834335446,558737.477932376
"101",194297.441526941,558689.206967386
"112",193259.881274913,559395.049755064
"113",193271.480115642,559410.580230259
"114",193293.34659692,559395.843303303
"115",193275.932474763,559385.364316788
"120",193546.120669886,559396.739117303
"121",193573.198730892,559397.104752664
"122",192806.786202078,560369.140718102
"123",192784.039345693,560377.438646569
"124",193677.843935787,559400.967976483
"125",192797.613425061,560398.715696514
"129",193817.858364557,559475.431721591
"131",193826.801395539,559463.329334622
"134",192817.956819289,560569.363329679
"135",192909.555651172,560375.182118283
"136",193061.790458157,560388.287127751
"137",193000.665458964,560383.107801909
"138",193804.158803834,559465.848911796
"147",192819.277287923,560379.683866456
"148",192892.941528004,560369.620525571
"149",193577.936403882,559483.195519844
"150",193414.598898601,559478.888567879
"151",193333.752704793,559482.337345138
"152",193329.754899077,559490.755854516
"153",193281.834527075,559459.162606034
"154",192537.695173801,560572.625097651
"155",192492.30826349,560548.831440847
"165",193269.538069068,559434.679744019
"166",192489.652722337,560386.901876388
"168",192859.324739652,558965.254055075
"169",192885.552034054,558968.733901488
"193",192639.764040612,559954.638825723
"194",192861.404570915,559010.46866034
"215",192874.509754584,559008.120586132
"254",193747.133533509,555759.496191651
"259",193555.223652209,559472.102305223
"260",193556.065149085,559412.741383984
"261",193562.841647334,559387.073971521
"266",192855.552212128,559609.050578724
"267",192985.883412732,559479.452716913
"326",192838.432298358,559860.598799734
"352",192857.617511715,559856.93888772
"353",192880.01715564,559857.792999623
"500",193234.398580232,560647.196348847
"580",194497.735643442,556882.399466192
"581",194482.045255187,556896.967977227
"582",194468.039900692,556904.834451771
"583",194452.643196267,556908.494017953
"584",194504.444756857,556942.793718009
"585",194378.336295519,556938.575219957
"587",194344.170513815,556938.262072915
"761",191074.168280652,553954.945044435
"762",192558.139746653,554428.915490468
"765",192671.554392683,558196.337222571
"797",191113.214151757,553991.484406217
"798",191119.275426806,553979.893827934
"824",194213.240058542,558631.130671424
"825",194020.821399663,559368.149218738
"858",193675.639540951,559103.819341031
"860",194190.117936001,559795.861479438
"861",194141.444731018,559749.848779803
"862",194122.524943984,559735.169015593
"863",193732.859164891,559147.622996988
"895",193723.427708936,559145.613177441
"896",194078.856575068,559679.178830562
"897",194078.504246114,559696.186592923
"898",193972.083023049,559538.982418366
"899",193958.779639991,559540.437862553
"900",193787.223127821,559217.086232124
"901",193783.944323586,559228.24627811
"902",193795.403221883,559229.117409644
"936",193798.230691755,559221.813872051
"937",193812.11565905,559291.238714687
"938",193827.33238748,559305.219956615
"939",193803.63225228,559305.88409909
"940",193817.363018531,559313.838277329
"953",193010.373088327,559207.328103308
"954",193032.992624232,559198.808994698
"955",193010.476963831,559191.549882639
"959",192816.835725253,558383.03075358
"963",193022.726536543,559183.068647926
"964",192893.502473008,559315.366951194
"981",192848.330812449,559430.702442656
"1005",194391.767822241,559762.058373042
"1006",194450.865145921,559771.425020764
"1007",194722.399929792,560023.375000486
"1020",194317.047740158,561185.776168426
"1022",194383.024732017,561125.816504997
"1176",193587.682760268,557976.964331614
"1177",193652.588566031,560881.909797937
"1178",193778.549165632,555834.98315994
"1368",192864.546396172,558788.396339901
"1434",189737.589749071,554662.68505678
"1475",192675.849019271,555003.158107307
"1478",193662.32328811,556132.909600592
"1607",192728.245067986,557776.42099285
"1608",192686.10891916,557806.451995347
"1609",192398.112605221,557802.530431411
"1684",191727.209889071,554736.853985739
"1685",191720.45015238,554755.543168661
"1686",191824.454209002,554690.175405083
"1687",194024.673814217,557192.17547683
"1688",192929.478601139,557749.870878545
"1692",193933.741653307,558079.50599456
"1694",191874.371314457,554925.398185795
"1695",192884.33829142,554383.014885013
"1756",192794.700663725,555209.368492007
"1763",192449.969064801,555009.180759577
"1802",191742.298056076,555835.017787812
"1803",191745.750676501,555896.837412757
"1804",191736.122378018,555909.047485108
"1805",191747.162418692,555910.076559862
"1806",191756.178030037,555900.708135064
"1807",191745.920584716,555944.098846516
"1808",191755.194904237,556032.834012049
"1849",194226.808004061,561186.184745331
"1856",192894.767039834,559940.26628
"1873",194308.600022991,556990.677315845
"1942",192888.205677714,559303.766014559
"2136",194455.064812123,557005.139650568
"2137",194332.339951658,556914.23356378
"2148",194544.705439221,556813.152194453
"2149",194546.227023918,556826.56226239
"2150",194531.055029242,556820.855247149
"2151",194539.203056395,556830.394101992
"2152",194518.300301736,556872.572475064
"2153",194506.517060467,556874.149952721
"2169",194301.737643695,558696.233655937
"2170",193946.402767791,558823.364141089
"2371",192180.096548948,554025.933270598
"2373",190268.193813706,553950.594460533
"2379",193165.373381228,555926.361030166
"2380",193487.740031874,555875.316504981
"2383",193727.55562888,558496.657970496
"2384",191073.263392293,553939.402800675
"2386",192084.546079765,553906.787758483
"2391",193680.92890756,555854.495366595
"2392",193683.738068822,555845.301225273
