id,xcoord,ycoord
"103",200176.900244646,552344.172564123
"104",199803.866371139,552283.084974261
"230",197718.0303939,553066.548615331
"423",198484.13473776,552708.419075969
"635",198417.228127611,555844.179888731
"648",197578.632596622,553794.17181278
"736",198092.185610461,552458.695145324
"756",197909.79463077,552751.950409661
"757",197910.184657387,552741.043878129
"796",198009.612148754,552451.871662335
"854",198000.411326288,552751.460613881
"892",198096.200017387,552555.828374598
"893",197590.040686828,552434.4837084
"894",197579.631883262,552448.232160027
"930",197593.452072602,552571.630444512
"932",198306.55118225,552877.938837508
"933",198294.140220492,552865.661951422
"1004",197757.109408633,552736.529067261
"1021",197942.06579692,556763.829237139
"1117",197336.865146202,552218.623960547
"1180",201293.883773146,552825.677106577
"1231",196554.877134006,555816.313797027
"1232",201652.420179329,552442.877102482
"1233",201649.048047826,552442.655220407
"1245",201632.530981887,552463.893469531
"1246",201629.183241181,552469.771346522
"1247",201634.406454798,552483.103113927
"1248",201609.920312503,552523.07978788
"1249",201600.368360516,552543.970569113
"1250",201593.338920335,552550.303987892
"1251",201580.162124053,552583.309416096
"1252",201586.446368172,552594.263100625
"1253",201556.231293567,552642.846385148
"1254",197282.754101248,553079.139414437
"1255",197148.079286154,553141.153439461
"1256",197139.036473189,553148.086004694
"1257",197143.022916099,553139.133330844
"1259",197154.803281827,553050.888548308
"1261",197153.571562109,553044.337088658
"1262",197157.686470171,553038.844040769
"1263",197199.279496557,553839.494024654
"1274",197250.651341979,553835.461404732
"1275",197252.426328853,553824.148181012
"1276",197262.464786311,553831.601844376
"1279",196693.469083785,552427.38227521
"1280",196579.029505172,552565.522195936
"1281",201102.269806786,553538.590016286
"1353",198384.132273147,554272.687992734
"1354",198289.134096258,553508.606714663
"1355",198384.187578991,554098.446147934
"1356",198376.607641901,554091.956554881
"1357",198400.871827135,553821.969497134
"1358",198402.774304896,553682.219261753
"1359",198337.361605462,553551.752370803
"1360",198322.733823801,553549.932158142
"1361",198383.567843311,553641.763032238
"1362",198378.413555515,554223.622895485
"1777",200580.083803784,552712.87030115
