id,xcoord,ycoord
"141",201144.547180642,551233.104917673
"159",198454.330633489,552055.806672507
"160",198363.950913639,552045.295378667
"245",200199.773052779,551785.413115355
"256",199042.238442442,551110.844494866
"263",198542.519061548,551954.106999646
"264",198512.566977045,551931.731828726
"265",198492.500113803,551930.683895655
"279",198642.455400342,551986.562584207
"280",198634.011836807,551896.10009064
"294",198574.447170067,551921.803892817
"309",198698.181033402,551910.675325875
"387",197473.460983336,551972.406409235
"388",197472.743133843,551982.134988056
"465",198739.266732996,551986.169859329
"604",201127.728572714,550643.261385204
"605",201082.995896374,550623.679977854
"623",201104.40030913,550584.747552823
"624",201126.969454893,550588.227308474
"625",201225.871936253,550561.698664037
"626",201269.888042746,550571.852268404
"627",201304.414495061,550577.239887958
"628",201293.630942236,550597.161450866
"629",201319.045576432,550617.77492301
"1048",200428.236985048,551948.349817526
"1049",201114.299507103,550725.764151795
"1119",198541.189473084,551176.743959846
"1120",198549.027725481,551189.759431815
"1127",198557.88131979,551128.774045369
"1331",198532.090325705,551252.632115944
"1332",198396.705023066,551291.949356935
"1336",196764.913429607,550681.393099981
"1338",201263.865152334,551319.592127566
"1363",198980.422999578,551965.466045925
"1366",199024.981084168,552014.216212554
"1399",201936.978801709,551786.235401509
"1400",201981.480899914,551811.060863307
"1401",201965.937564034,551806.458666767
"1414",198458.540137863,551033.455738978
"1436",198360.341087173,550999.344146776
"1443",200273.536117183,551628.394020948
"1444",200239.876712651,551629.740914715
"1461",201838.169339989,551271.58212076
"1462",201830.215985871,551262.057489729
"1463",201817.280136262,551293.70157804
"1464",201893.217877222,551377.325970699
"1465",202127.21022908,551395.635443693
"1466",202030.445897935,551306.480531048
"1467",202026.966002796,551312.107500601
"1468",201847.136087576,551324.494163715
"1469",201914.222668554,551319.829843387
"1470",201929.760837215,551322.979985175
"1654",199645.504390673,550877.769683218
"1732",201416.257386548,552073.285003132
"1743",198080.621144115,551694.769763591
"1745",198070.833230293,551648.77347704
"1746",198098.284305609,551597.654598587
"1747",198103.81414828,551582.342923811
"1831",199872.681503307,551872.3807369
"1864",202069.362680244,551981.131723546
"1904",197321.475529026,552042.213789022
"1938",198343.004004041,552089.543056775
"1948",199800.982952978,551469.742530009
"1949",198158.386742921,552070.527060764
"1950",198386.685898109,551215.277919636
"1967",198403.808056841,551164.741811524
"1980",197498.816295959,551117.780230726
"1981",197692.648050315,551159.504609165
"1984",199011.582513383,551304.529676632
"2007",198382.236914564,551229.143469362
"2008",198302.172169961,551251.759988941
"2125",200748.560969821,552028.726479712
"2138",198496.679642542,551040.657514545
"2139",198519.764188757,551057.069338396
"2140",198554.889182772,551123.801495302
"2211",198621.893453209,551907.251561485
"2377",197953.017204213,550884.306880981
"2387",198175.564399107,551069.763584328
"2388",198121.63980012,551033.47364359
"2389",197925.948365027,550838.230396723
"2409",200226.174896842,550400.428338166
"2410",200161.141061223,550284.273389792
"2411",200360.712507361,551889.697143946
"2412",200432.856193047,551876.279306425
"2413",200518.839155896,551857.206325097
"2414",200560.247770016,551673.745754646
"2415",200484.798740105,551691.297351364
"2419",200395.511806143,551700.165660506
"2420",200360.098802665,551698.20631092
"2518",199203.293796256,551266.516562207
"2519",199239.463537602,551299.100814147
"2520",199248.369256549,551266.265429995
"2521",199256.558097845,551299.303909234
"2522",199314.039225742,551298.057378361
"2666",196823.829531844,550376.989288114
"2783",197017.929290253,550996.580344611
"2788",196676.592165551,550235.112120446
"2819",198759.425408567,551281.931687393
"3041",199354.14316418,551736.341819241
"3042",199334.241821897,551931.718036557
"3081",197213.122400968,551984.136260358
"3097",197191.105347392,551956.529439823
"3111",197129.173636784,551875.297632311
"3176",197890.4673791,551453.598560329
"3177",197489.084071064,551410.413359946
"3178",197768.30644837,551410.191139192
"3179",197809.171446747,551397.392121771
"3180",197789.63325373,551397.206746225
"3181",200718.895220679,552143.854608845
"3182",198890.446402817,551683.234004872
"3185",198369.92287061,551388.075109329
"3186",197761.70161002,551386.357320981
"3187",197526.528114352,551363.848465086
"3188",198150.844666169,551316.568350157
"3189",200633.793335909,552066.059690989
"3191",199160.439151515,551680.568653453
"3192",199008.544807405,551674.261191272
"3193",199191.231960059,552057.765263845
"3195",197886.244051186,552161.71982029
"3196",197724.835948887,552132.986189825
"3197",197681.945572741,551291.036102327
"3198",198168.135450784,551291.737863373
"3199",198020.758939412,551284.216102323
"3200",198079.432209608,551269.774757397
"3201",197969.542306328,550740.663178376
"3202",200937.976137634,551998.087439875
"3203",199833.071139359,551978.697911703
"3204",199819.284358572,551967.256897494
"3205",199077.339855732,551962.831168757
"3206",198943.278431183,551673.898045041
"3207",198158.979117777,552124.271036705
"3208",197709.388293099,552105.140077744
"3209",198422.17427467,552060.389695716
"3210",197596.896877118,551142.443569865
"3211",197468.312684855,551137.65269877
"3212",198324.180642046,551111.300121825
"3213",200406.768714586,551917.834923129
"3214",199081.298498715,551914.972696784
"3215",199094.273736174,551918.353423194
"3216",199306.110913042,551660.366501497
"3217",199389.783097611,551644.597257919
"3218",199360.693539027,551653.616591348
"3219",197996.922864761,552054.587835664
"3220",198422.892111636,552047.014727218
"3221",197718.649715484,551106.12484346
"3223",199608.210027211,551887.608407502
"3229",199269.620780633,551663.204797279
"3231",197331.470685338,552010.633663185
"3232",197348.275043177,551976.434635048
"3233",198164.694585252,551945.610790591
"3234",198160.050454396,551097.219591859
"3235",199835.173915814,552135.661168337
"3236",199807.193350872,552132.017683666
"3237",199674.946914305,552103.115439795
"3238",199024.044027377,552038.424786394
"3241",198561.726741787,552108.317372387
"3242",198457.701678991,552129.038725987
"3250",197367.277062722,551954.784897529
"3252",198171.897914751,551936.325813439
"3254",196816.594231863,551074.43964962
"3255",198126.614146722,551069.305296223
"3256",196824.550716657,551072.518288265
"3257",196811.397643017,551062.646355239
"3259",200200.86906206,552217.870268185
"3260",200002.929275421,552172.638763017
"3262",199657.848749529,552107.208505226
"3264",198924.146222507,552035.209427622
"3266",198497.321113108,552128.704988965
"3267",198420.68231364,552133.615187841
"3274",201425.243105331,552234.888565759
"3275",200885.275227344,552227.251777851
