id,xcoord,ycoord
"248",208044.930850793,555967.929541105
"249",209035.768917746,555013.906536346
"250",208984.525321649,555004.233741842
"251",208663.185593705,556254.782714934
"268",206766.452865938,555039.343177135
"356",208455.027508003,557233.996075749
"357",208453.469884436,557218.606598343
"358",208499.804830405,557201.496996764
"369",208502.662059884,557182.800749739
"370",208652.963557527,557123.749251234
"371",208829.656387015,557070.000526767
"372",208809.671755171,557068.689567573
"373",208558.790968735,555918.098419585
"374",208856.747721004,557170.89219155
"375",208870.349958637,557174.621065526
"376",208885.710418981,557164.587928887
"377",208858.062605912,557154.305347185
"378",208829.984380197,556531.249312844
"379",208627.925691846,557132.469059839
"381",208815.720374364,556987.878977639
"396",208645.802486499,557121.796038511
"446",208463.231049481,557311.883081636
"455",207515.888426274,553480.772322206
"780",208534.274548295,555858.062180793
"781",208506.13129429,555863.055671248
"1131",206339.601582614,554726.961686695
"1132",207200.822891124,555575.673911724
"1133",207209.286263323,555589.300739226
"1134",207218.596218389,555573.764648453
"1153",208604.162982806,554179.073511184
"1169",208277.951216275,554391.194786878
"1190",208301.52975244,554404.712467936
"1191",207720.24170293,555820.848102436
"1234",206873.508872567,557140.072373557
"1258",206889.484401994,557081.053964821
"1260",206900.174416476,557175.360625853
"1277",206846.798300507,557251.536010999
"1278",206846.574718385,557206.740196055
"1322",206520.357327655,555765.652096909
"1328",207610.583247658,554779.702049721
"1330",208358.23309064,554085.007309756
"1914",207012.641464557,556204.627564381
"5045",209036.712552137,555643.117297281
"7765",209580.778985592,555654.758251599
"7766",209154.725580478,555657.520058329
"8345",206302.991051638,554817.560652069
"9792",208939.883616918,555628.59153378
"9793",209257.449262151,555654.863524391
"9985",207656.648053943,554668.448416995
"10251",208692.578047269,555548.010562868
"10253",208887.083386674,555601.814166028
"10254",208845.97683841,555600.050261243
"10354",206379.619250259,553927.461520479
"10618",206986.86055486,556009.279733643
"10619",206970.337425088,555997.230248044
"10625",206390.787003193,554844.732872451
"10626",206434.090318002,554818.975064156
"10627",206387.993137155,555074.676795468
"10628",206988.694548726,556072.765951933
"10629",206952.663371549,556189.059154162
