,lon,lat,geom
0,205618.435633005,543788.5076173621,POINT (205618.435633005 543788.5076173621)
1,204902.179228187,542551.038526288,POINT (204902.179228187 542551.038526288)
2,202578.40754988103,547228.3147532421,POINT (202578.407549881 547228.3147532421)
3,203575.169899895,544117.690665533,POINT (203575.169899895 544117.690665533)
4,205057.530067175,545514.0715371739,POINT (205057.530067175 545514.0715371739)
5,204301.97063756103,546890.094338626,POINT (204301.970637561 546890.094338626)
6,202864.524458831,545706.73633679,POINT (202864.524458831 545706.73633679)
7,209009.787163398,540841.131477191,POINT (209009.787163398 540841.131477191)
8,207223.82418879,543306.6235419529,POINT (207223.82418879 543306.6235419529)
9,209277.20471179602,542518.95981701,POINT (209277.204711796 542518.95981701)
