,lon,lat,geom
0,215092.49145769398,552085.2168118029,POINT (215092.491457694 552085.2168118029)
1,213014.91150477898,547388.243358783,POINT (213014.911504779 547388.243358783)
2,211432.894044326,547797.701384818,POINT (211432.894044326 547797.7013848179)
3,212905.161462664,549814.6329084929,POINT (212905.161462664 549814.6329084929)
4,212867.703368167,548787.158235034,POINT (212867.703368167 548787.158235034)
5,216040.196474143,550713.583019358,POINT (216040.196474143 550713.583019358)
6,211077.829759821,549356.7593825429,POINT (211077.829759821 549356.7593825429)
7,213382.958750477,551042.0251430661,POINT (213382.958750477 551042.0251430661)
8,211557.776692877,551088.607920778,POINT (211557.776692877 551088.607920778)
9,214748.32741049302,550445.3605551079,POINT (214748.327410493 550445.3605551079)
