,lon,lat,geom
0,203956.603606409,557792.831291326,POINT (203956.603606409 557792.831291326)
1,202406.421329262,560577.928789776,POINT (202406.421329262 560577.9287897761)
2,202860.642404664,557927.144288289,POINT (202860.642404664 557927.144288289)
3,201023.84955026602,557595.851186093,POINT (201023.849550266 557595.8511860929)
4,202700.379399855,556642.947437907,POINT (202700.379399855 556642.947437907)
5,202790.175982299,559524.7649047071,POINT (202790.175982299 559524.7649047071)
6,200859.93639741,559997.1673982621,POINT (200859.93639741 559997.1673982621)
7,201030.325567878,558691.8154323089,POINT (201030.325567878 558691.8154323089)
8,203172.825569537,559159.419349462,POINT (203172.825569537 559159.419349462)
9,201161.254256715,561825.583324768,POINT (201161.254256715 561825.583324768)
