,lon,lat,geom
0,186130.1983,552343.3159,POINT (186130.1983 552343.3159)
1,187220.371,550807.5674,POINT (187220.371 550807.5674000001)
2,184514.01899999997,551832.2212,POINT (184514.019 551832.2212)
3,183095.021,553066.1683,POINT (183095.021 553066.1683)
4,185748.9714,550577.2037,POINT (185748.9714 550577.2037)
5,184476.6666,549838.3167,POINT (184476.6666 549838.3167)
6,186069.9327,548825.2037,POINT (186069.9327 548825.2037)
7,188353.8111,549985.3143,POINT (188353.8111 549985.3143)
8,187172.7538,547980.2314,POINT (187172.7538 547980.2314)
9,183284.6918,551327.6672,POINT (183284.6918 551327.6672)
