,lon,lat,geom
0,195854.306068807,541471.968645855,POINT (195854.306068807 541471.968645855)
1,194366.758671727,541767.112225798,POINT (194366.758671727 541767.112225798)
2,193397.040635848,543406.1441843121,POINT (193397.040635848 543406.1441843121)
3,191543.989596141,542678.131373088,POINT (191543.989596141 542678.131373088)
4,193417.073238407,540192.383612225,POINT (193417.073238407 540192.3836122249)
5,198903.890667087,540748.700160136,POINT (198903.890667087 540748.700160136)
6,195191.579924383,543075.1796051239,POINT (195191.579924383 543075.1796051239)
7,196207.70978056602,542860.798639298,POINT (196207.709780566 542860.798639298)
8,192807.651027989,541647.974014856,POINT (192807.651027989 541647.974014856)
9,197446.645492743,541771.8644016411,POINT (197446.645492743 541771.8644016411)
