,lon,lat,geom
0,209690.04427082,550276.357660567,POINT (209690.04427082 550276.357660567)
1,208931.50156200898,548625.403257034,POINT (208931.501562009 548625.403257034)
2,206588.37028057198,547806.009523195,POINT (206588.370280572 547806.009523195)
3,208167.877259579,550289.756720643,POINT (208167.877259579 550289.756720643)
4,207617.312092356,552203.404363478,POINT (207617.312092356 552203.404363478)
5,206654.76467291103,549665.0692460929,POINT (206654.764672911 549665.0692460929)
6,207298.906300992,549536.797185063,POINT (207298.906300992 549536.797185063)
7,206500.20988932397,551019.701336628,POINT (206500.209889324 551019.7013366279)
8,207784.457344828,547747.799513797,POINT (207784.457344828 547747.799513797)
9,205323.926214003,548389.845409921,POINT (205323.926214003 548389.845409921)
