,lon,lat,geom
0,185912.527885791,543941.926978529,POINT (185912.527885791 543941.926978529)
1,190613.54550316898,544295.430003489,POINT (190613.545503169 544295.430003489)
2,187824.45345146698,543637.468377844,POINT (187824.453451467 543637.468377844)
3,190424.709843709,542703.502949388,POINT (190424.709843709 542703.502949388)
4,187105.377709359,545017.149526884,POINT (187105.377709359 545017.149526884)
5,184887.350494548,544407.427567155,POINT (184887.350494548 544407.427567155)
6,186417.640999841,542503.0321336379,POINT (186417.640999841 542503.0321336379)
7,184488.53903562302,542490.124918845,POINT (184488.539035623 542490.124918845)
8,189554.402118975,545493.06600022,POINT (189554.402118975 545493.06600022)
9,188917.872524273,543771.310466922,POINT (188917.872524273 543771.310466922)
