,lon,lat,geom
0,191234.92726480198,542194.0492458161,POINT (191234.927264802 542194.0492458161)
1,192470.15632493302,539392.161925081,POINT (192470.156324933 539392.161925081)
2,189228.19094865897,542529.641147123,POINT (189228.190948659 542529.641147123)
3,191493.958697984,538112.991348707,POINT (191493.958697984 538112.991348707)
4,191851.628215711,540735.950519418,POINT (191851.628215711 540735.950519418)
5,191439.009929692,537236.0564242511,POINT (191439.009929692 537236.0564242511)
6,190600.73539910399,539792.621516535,POINT (190600.735399104 539792.6215165349)
7,191466.094285179,541881.11530681,POINT (191466.094285179 541881.11530681)
8,189868.602048992,540681.408910956,POINT (189868.602048992 540681.408910956)
9,189863.71675088603,542428.153977277,POINT (189863.716750886 542428.153977277)
