,lon,lat,geom
0,205646.616476185,557568.500384222,POINT (205646.616476185 557568.500384222)
1,205307.679653054,560704.516289826,POINT (205307.679653054 560704.516289826)
2,206927.91246345,563014.362098827,POINT (206927.91246345 563014.362098827)
3,209316.03904877897,559533.490951178,POINT (209316.039048779 559533.490951178)
4,206777.310736113,561214.696118235,POINT (206777.310736113 561214.696118235)
5,205444.719537361,562589.380519594,POINT (205444.719537361 562589.3805195939)
6,204498.68217453398,558911.822409321,POINT (204498.682174534 558911.822409321)
7,204816.201182988,564358.966699651,POINT (204816.201182988 564358.966699651)
8,207413.94657600898,558134.186923653,POINT (207413.946576009 558134.186923653)
9,206405.838302942,559248.965022407,POINT (206405.838302942 559248.965022407)
