,lon,lat,geom
0,205646.28981076198,552204.61588084,POINT (205646.289810762 552204.61588084)
1,203356.157869073,553716.152528102,POINT (203356.157869073 553716.152528102)
2,203747.92070460302,554496.682998031,POINT (203747.920704603 554496.682998031)
3,205004.986680915,554131.189228059,POINT (205004.986680915 554131.189228059)
4,206564.47542786898,553042.423983959,POINT (206564.475427869 553042.423983959)
5,205071.79861074302,552381.292940067,POINT (205071.798610743 552381.292940067)
6,205470.581054877,555909.448059035,POINT (205470.581054877 555909.448059035)
7,204209.316031518,552961.037164941,POINT (204209.316031518 552961.037164941)
8,202474.58068254,552353.695700104,POINT (202474.58068254 552353.695700104)
9,206093.67744236,554448.57987859,POINT (206093.67744236 554448.57987859)
