,lon,lat,geom
0,193653.12849799302,544059.000331259,POINT (193653.128497993 544059.000331259)
1,193572.90561727,546144.271151552,POINT (193572.90561727 546144.271151552)
2,192113.31873817102,543841.740977374,POINT (192113.318738171 543841.740977374)
3,198501.948178583,544208.266260636,POINT (198501.948178583 544208.266260636)
4,195141.72433053103,544426.2751828621,POINT (195141.724330531 544426.2751828621)
5,196602.37634510602,545254.781632117,POINT (196602.376345106 545254.781632117)
6,195462.538480821,545574.091302398,POINT (195462.538480821 545574.091302398)
7,193764.776001712,544477.670559541,POINT (193764.776001712 544477.670559541)
8,197707.865539123,542641.365433722,POINT (197707.865539123 542641.365433722)
9,196709.33103597802,543643.591078112,POINT (196709.331035978 543643.591078112)
