,lon,lat,geom
0,189323.143424877,552022.899866048,POINT (189323.143424877 552022.899866048)
1,191450.371113567,552319.49901538,POINT (191450.371113567 552319.49901538)
2,188203.303428315,552967.6856607379,POINT (188203.303428315 552967.6856607379)
3,192280.32861134602,550109.797214775,POINT (192280.328611346 550109.797214775)
4,195507.967382037,549287.967045357,POINT (195507.967382037 549287.967045357)
5,190213.69878047603,553541.705573986,POINT (190213.698780476 553541.7055739861)
6,192683.71095754602,551112.790320142,POINT (192683.710957546 551112.7903201421)
7,193997.267622238,549998.100828576,POINT (193997.267622238 549998.100828576)
8,190733.168159947,550977.1102901179,POINT (190733.168159947 550977.1102901179)
9,195888.183149835,550573.242574569,POINT (195888.183149835 550573.242574569)
