,lon,lat,geom
0,192952.931933972,553017.88353233,POINT (192952.931933972 553017.88353233)
1,194952.238158555,551178.233555135,POINT (194952.238158555 551178.233555135)
2,194374.908162902,552947.135641436,POINT (194374.908162902 552947.135641436)
3,196441.370073957,552345.3377146471,POINT (196441.370073957 552345.3377146471)
4,194287.679398403,554575.227449557,POINT (194287.679398403 554575.227449557)
5,196774.980106432,551286.676747754,POINT (196774.980106432 551286.676747754)
6,195736.625429445,553448.608872648,POINT (195736.625429445 553448.608872648)
7,196151.862377272,555258.823546597,POINT (196151.862377272 555258.823546597)
8,193586.83080302898,551713.9149206061,POINT (193586.830803029 551713.9149206061)
9,192026.82798954102,553136.1551091879,POINT (192026.827989541 553136.1551091879)
