,lon,lat,geom
0,198987.81777866898,541760.343413698,POINT (198987.817778669 541760.343413698)
1,202131.338329608,543105.496343683,POINT (202131.338329608 543105.496343683)
2,199697.603039663,544849.127226757,POINT (199697.603039663 544849.127226757)
3,198866.511867145,543480.729805871,POINT (198866.511867145 543480.729805871)
4,201558.301091384,544474.4297672011,POINT (201558.301091384 544474.4297672011)
5,200356.482680708,542671.2439483571,POINT (200356.482680708 542671.2439483571)
6,202367.943945822,540533.818806114,POINT (202367.943945822 540533.818806114)
7,201172.98653723398,546040.165529347,POINT (201172.986537234 546040.165529347)
8,205259.979875717,539357.159798692,POINT (205259.979875717 539357.159798692)
9,203565.509848032,541618.927523074,POINT (203565.509848032 541618.927523074)
