,lon,lat,geom
0,206492.647710157,551087.363666032,POINT (206492.647710157 551087.363666032)
1,203108.395404447,550220.0253292089,POINT (203108.395404447 550220.0253292089)
2,204475.097365377,550738.4382011021,POINT (204475.097365377 550738.4382011021)
3,201745.65741560698,550729.619048052,POINT (201745.657415607 550729.619048052)
4,201256.44327244698,549622.4864863671,POINT (201256.443272447 549622.4864863671)
5,203890.413766098,548935.58002377,POINT (203890.413766098 548935.58002377)
6,203977.64712198198,552009.145018015,POINT (203977.647121982 552009.1450180151)
7,206142.718913295,551168.651162402,POINT (206142.718913295 551168.651162402)
8,205670.28260087103,549253.0759716671,POINT (205670.282600871 549253.0759716671)
9,202444.58722870002,551975.991737323,POINT (202444.5872287 551975.991737323)
