,lon,lat,geom
0,202256.669510562,554065.553125949,POINT (202256.669510562 554065.553125949)
1,200179.47702038102,556901.380077439,POINT (200179.477020381 556901.380077439)
2,201377.17057286398,554462.920766493,POINT (201377.170572864 554462.920766493)
3,201868.619244779,556832.460980327,POINT (201868.619244779 556832.460980327)
4,201684.922323298,555890.429531155,POINT (201684.922323298 555890.429531155)
5,203638.780118478,556249.59752333,POINT (203638.780118478 556249.59752333)
6,199699.657269696,555234.996426299,POINT (199699.657269696 555234.996426299)
7,202995.96427871802,554834.508544636,POINT (202995.964278718 554834.508544636)
8,205843.160819437,556390.43253042,POINT (205843.160819437 556390.43253042)
9,204496.42315765,557368.077261582,POINT (204496.42315765 557368.077261582)
