,lon,lat,geom
0,211539.08306543698,545459.0624475479,POINT (211539.083065437 545459.0624475479)
1,210002.586073996,547907.12336713,POINT (210002.586073996 547907.1233671301)
2,210922.956230056,542791.999138798,POINT (210922.956230056 542791.999138798)
3,209642.19248228398,546141.6946563111,POINT (209642.192482284 546141.6946563111)
4,213435.827468265,543885.578357615,POINT (213435.827468265 543885.578357615)
5,208180.29786973397,544863.203078705,POINT (208180.297869734 544863.203078705)
6,211737.08283305602,544183.799834801,POINT (211737.082833056 544183.799834801)
7,206953.778912401,545840.899396779,POINT (206953.778912401 545840.899396779)
8,212370.082994088,542603.4196638439,POINT (212370.082994088 542603.4196638439)
9,209926.25609630102,544423.0604252979,POINT (209926.256096301 544423.0604252979)
