,lon,lat,geom
0,193063.787330308,547636.667625871,POINT (193063.787330308 547636.667625871)
1,194456.736196945,546997.0214337329,POINT (194456.736196945 546997.0214337329)
2,190225.29948645,546650.062395958,POINT (190225.29948645 546650.062395958)
3,193095.798771532,545842.2236505339,POINT (193095.798771532 545842.2236505339)
4,190525.75162952102,548306.339154998,POINT (190525.751629521 548306.339154998)
5,191214.51220733603,543729.835932716,POINT (191214.512207336 543729.835932716)
6,192623.76040527102,544690.241010771,POINT (192623.760405271 544690.241010771)
7,191614.03417865103,547183.865616981,POINT (191614.034178651 547183.8656169811)
8,191154.931448185,545511.941064191,POINT (191154.931448185 545511.9410641911)
9,190146.37406957,549763.369620922,POINT (190146.37406957 549763.369620922)
