,lon,lat,geom
0,199440.649967635,547279.866973799,POINT (199440.649967635 547279.866973799)
1,198820.058717078,549461.178512723,POINT (198820.058717078 549461.178512723)
2,200245.615558322,549174.566582814,POINT (200245.615558322 549174.566582814)
3,198631.463391505,548386.744354266,POINT (198631.463391505 548386.744354266)
4,197773.003478816,546696.618964097,POINT (197773.003478816 546696.618964097)
5,196381.716051479,547156.825398834,POINT (196381.716051479 547156.825398834)
6,196011.752206757,548654.98762707,POINT (196011.752206757 548654.98762707)
7,197864.034495566,548331.534568728,POINT (197864.034495566 548331.5345687279)
8,197528.778123625,549788.609046154,POINT (197528.778123625 549788.609046154)
9,200979.262997701,547698.967483949,POINT (200979.262997701 547698.967483949)
