,lon,lat,geom
0,193851.652266088,560318.670849176,POINT (193851.652266088 560318.670849176)
1,191113.21415175698,553991.484406217,POINT (191113.214151757 553991.484406217)
2,190268.19381370602,553950.594460533,POINT (190268.193813706 553950.594460533)
3,192096.284288414,556199.343210628,POINT (192096.284288414 556199.343210628)
4,192691.22105982603,557800.27126518,POINT (192691.221059826 557800.27126518)
5,192730.878341492,554705.543922106,POINT (192730.878341492 554705.543922106)
6,193683.766668465,558348.634141851,POINT (193683.766668465 558348.634141851)
7,194642.02886882302,561620.32228026,POINT (194642.028868823 561620.32228026)
8,192656.566130855,559655.498387747,POINT (192656.566130855 559655.498387747)
9,193924.222673211,556301.918538055,POINT (193924.222673211 556301.918538055)
