,lon,lat,geom
0,199645.504390673,550877.769683218,POINT (199645.504390673 550877.769683218)
1,196676.592165551,550235.112120446,POINT (196676.592165551 550235.1121204461)
2,201085.229225095,550304.038019593,POINT (201085.229225095 550304.038019593)
3,198159.422685733,552161.2820065471,POINT (198159.422685733 552161.2820065471)
4,201252.651261502,552227.750585301,POINT (201252.651261502 552227.750585301)
5,197715.69590556898,552122.9531166779,POINT (197715.695905569 552122.9531166779)
6,198482.849614327,550553.974780609,POINT (198482.849614327 550553.974780609)
7,200020.192609945,552180.737144339,POINT (200020.192609945 552180.737144339)
8,196770.24471223,550667.0631330521,POINT (196770.24471223 550667.0631330521)
9,202262.590364603,551722.805118325,POINT (202262.590364603 551722.805118325)
