,lon,lat,geom
0,206379.61925025898,553927.461520479,POINT (206379.619250259 553927.4615204789)
1,206493.77339759102,554423.3613167129,POINT (206493.773397591 554423.3613167129)
2,207187.44749577198,557212.243186089,POINT (207187.447495772 557212.243186089)
3,207052.51545125,555964.089173881,POINT (207052.51545125 555964.089173881)
4,208308.029095442,556843.685280872,POINT (208308.029095442 556843.685280872)
5,208345.769237825,553595.4248228411,POINT (208345.769237825 553595.4248228411)
6,208141.443751,554945.904514788,POINT (208141.443751 554945.904514788)
7,209919.23892014602,557403.2913881061,POINT (209919.238920146 557403.2913881061)
8,207415.95703099802,552556.789774823,POINT (207415.957030998 552556.789774823)
9,209483.17644789,556016.6853525,POINT (209483.17644789 556016.6853524999)
