,시리얼번호,기온(℃),조도(lux),자외선(UVI),자치구,주소,위도,경도,idx,temp_rank,uv_rank,lux_rank,sum_val
81,V02Q1940935,26.125454545454534,4482.163636363636,0.1509090909090909,중구,서울특별시 중구 덕수궁길 15 서울시청 서소문별관3동,37.5648,126.975981,64,580.754,240.72,213.59799999999998,1035.0720000000001
74,V02Q1940945,25.82264150943396,4697.858490566037,0.15849056603773587,마포구,서울특별시 마포구 망원동 403-6,37.55524371,126.9069028,58,558.714,242.16,215.688,1016.562
85,V02Q1940799,25.81111111111112,4484.305555555556,0.1472222222222222,도봉구,서울특별시 도봉구 창동 557-72,37.6378168,127.038271,68,557.061,239.76,214.016,1010.837
86,V02Q1940756,25.80849056603773,4444.320754716981,0.14716981132075466,동작구,서울특별시 동작구 상도동 248-16,37.50007359,126.9324381,69,556.51,239.51999999999998,212.762,1008.7919999999999
66,V02Q1940285,25.74311926605505,5191.366972477064,0.16880733944954124,마포구,서울특별시 마포구 망원동 386-15,37.55472248,126.9103629,50,544.9390000000001,244.07999999999998,218.405,1007.424
79,V02Q1940884,25.731147540983606,4541.877049180328,0.1524590163934426,관악구,서울특별시 관악구 신림동 1439-3,37.48739741,126.9271244,62,542.1840000000001,241.2,214.225,997.609
50,V02Q1940946,25.678899082568808,5436.880733944954,0.191743119266055,양천구,서울특별시 양천구 신월동 796,37.534444,126.8347904,36,529.5110000000001,247.44,219.868,996.819
53,V02Q1940750,25.634722222222234,5474.63888888889,0.18611111111111106,양천구,서울특별시 양천구 신월동 976-1,37.52197114,126.8359083,38,516.8380000000001,246.95999999999998,220.077,983.875
218,V02Q1940517,26.310619469026552,3251.3008849557527,0.09203539823008848,관악구,서울특별시 관악구 신원로 3다길 1,37.48248622,126.9264971,199,585.162,208.32,188.93599999999998,982.4179999999999
99,V02Q1940722,25.697272727272722,4093.3727272727283,0.13454545454545452,마포구,서울특별시 마포구 서교동 350-1,37.55482867,126.92596609999998,82,534.47,236.39999999999998,210.463,981.333
184,V02Q1940606,25.87238095238096,3425.657142857143,0.09904761904761902,마포구,서울특별시 마포구 노고산동 33-24,37.55445921,126.93769240000002,167,564.7750000000001,216.0,196.878,977.653
232,V02Q1940854,26.95648148148147,3133.759259259259,0.0898148148148148,마포구,서울특별시 마포구 망원동 403-2,37.5555906,126.905533,213,587.3660000000001,204.95999999999998,183.71099999999998,976.037
52,V02Q1940261,25.615315315315318,5369.207207207207,0.18828828828828825,성동구,서울특별시 성동구 성수동1가 13-219,37.54980884,127.0497702,37,509.124,247.2,219.24099999999999,975.565
173,V02Q1940449,25.81759259259261,3355.555555555556,0.10092592592592588,마포구,서울특별시 마포구 망원동 403-2,37.55579118,126.9059871,156,558.163,218.64,193.11599999999999,969.919
243,V02Q1940219,26.07053571428571,3095.3660714285716,0.08839285714285712,영등포구,서울특별시 영등포구 문래동1가 39-1,37.51165157,126.8957295,224,577.999,202.56,181.62099999999998,962.18
170,V02Q1940439,25.723008849557534,3495.362831858407,0.10176991150442477,마포구,서울특별시 마포구 성산동 630-3,37.55989095,126.9174751,153,539.98,219.35999999999999,200.013,959.3530000000001
35,V02Q1940670,25.673000000000002,3034.92,0.26,성동구,서울특별시 성동구 성수동1가 34-17,37.53927918,127.0498732,22,527.8580000000001,250.79999999999998,178.904,957.562
96,V02Q1940949,25.608196721311486,4392.475409836065,0.1401639344262295,강북구,서울특별시 강북구 수유동 55-7,37.6303757,127.0226279,79,505.26700000000005,237.12,212.553,954.94
