온도,날짜
22,2011-06-19
24.6,2011-07-18
25.8,2011-08-05
24.1,2012-06-19
25.4,2012-07-29
27.1,2012-08-05
24.4,2013-06-29
25.5,2013-07-01
27.7,2013-08-21
23.1,2014-06-06
26.1,2014-07-31
25.2,2014-08-02
23.6,2015-06-10
25.8,2015-07-11
26.3,2015-08-07
23.6,2016-06-05
26.2,2016-07-22
28,2016-08-21
23.3,2017-06-23
26.9,2017-07-25
25.9,2017-08-04
23.1,2018-06-25
27.8,2018-07-31
28.8,2018-08-01
22.5,2019-06-25
25.9,2019-07-06
27.2,2019-08-06
23.9,2020-06-22
24.1,2020-07-09
26.5,2020-08-26
