지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
3,1900-01-01,,선봉,,,42.3167,130.4,3,,,,
5,1900-01-01,,삼지연,,,41.8167,128.3167,1386,,,,
8,1900-01-01,,청진,,,41.7833,129.8167,43,,,,
12,2007-11-30,,안면도(감),,,36.5333,126.3167,60,,,,
14,1900-01-01,,중강,,,41.7833,126.8833,332,,,,
16,1900-01-01,,혜산,,,41.4,128.1667,714,,,,
20,1900-01-01,,강계,,,40.9667,126.6,306,,,,
22,1900-01-01,,풍산,,,40.8167,128.15,1206,,,,
25,1900-01-01,,김책,,,40.6667,129.2,23,,,,
28,1900-01-01,,수풍,,,40.45,124.9333,83,,,,
31,1900-01-01,,장진,,,40.3667,127.25,1081,,,,
35,1900-01-01,,신의주,,,40.1,124.3833,7,,,,
37,1900-01-01,,구성,,,39.9833,125.25,99,,,,
39,1900-01-01,,희천,,,40.1667,126.25,155,,,,
41,1900-01-01,,함흥,,,39.9333,127.55,38,,,,
46,1900-01-01,,신포,,,40.0333,128.1833,19,,,,
50,1900-01-01,,안주,,,39.6167,125.65,27,,,,
52,1900-01-01,,양덕,,,39.1667,126.8333,279,,,,
55,1900-01-01,,원산,,,39.1833,127.4333,36,,,,
58,1900-01-01,,평양,,,39.0333,125.7833,38,,,,
60,1900-01-01,,남포,,,38.7167,125.3667,47,,,,
61,1900-01-01,,장전,,,38.7333,128.1833,35,,,,
65,1900-01-01,,사리원,,,38.5167,125.7667,52,,,,
67,1900-01-01,,신계,,,38.5,126.5333,100,,,,
68,1900-01-01,,용연,,,38.2,124.8833,5,,,,
69,1900-01-01,,해주,,,38.0333,125.7,81,,,,
70,1900-01-01,,개성,,,37.9667,126.5667,70,,,,
75,1900-01-01,,평강,,,38.4,127.3,371,,,,
90,1968-01-01,,속초,강원도 고성군토성면 봉포5길9 속초자동기상관측소 ,속초기상대(90),38.2509,128.5647,17.53,18.73,1.7,10,1.4
90,2006-12-08,,속초,강원도 고성군토성면 봉포5길9 속초자동기상관측소 ,강릉(구 105),38.2509,128.5647,18.06,,,,
92,2002-02-25,,양양공항,,,38.0667,128.6667,75.4,72,1.5,10,0.5
93,2016-09-30,,북춘천,강원도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9475,127.7547,95.61,,,,
93,2016-10-01,,북춘천,강원도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9474,127.7544,95.78,96.78,1.5,10,1.4
94,2004-05-18,,광덕산,,춘천기상대(101),38.1172,127.4333,1066,,,,
95,1988-01-01,,철원,강원도 철원군갈말읍 명성로179번길 26 철원자동기상관측소,춘천기상대(101),38.1479,127.3042,155.48,156.98,1.8,13,1.5
96,2020-10-23,,독도,경상북도 울릉군울릉읍 독도이사부길63  ,울릉도기상대(115),37.2395,131.8698,99.08,,,,
96,2009-10-27,2020-10-23,독도,경상북도 울릉군울릉읍 독도이사부길63  ,울릉도기상대(115),37.2395,131.8698,96.15,,,,
98,1998-02-01,,동두천,경기도 동두천시방죽로 16-47동두천서비스센터  ,수도권기상청(119),37.9019,127.0607,115.62,116.74,1.7,10,1
99,2013-10-22,,파주,경기도 파주시문산읍 마정로46-29(파주기상대)  ,수도권기상청(119),37.8859,126.7665,30.59,31.99,1.7,10,1
99,2001-12-07,2013-10-22,문산,경기도 파주시문산읍 마정로46-29(파주기상대)  ,파주기상대(99),37.8859,126.7665,29.42,31.4,1.7,10,0.5
100,2005-04-28,,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,강릉(구 105),37.6771,128.7183,772.57,,,,
100,2006-11-07,,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,대관령기상대(100),37.6771,128.7183,772.43,773.43,1.7,10,1.4
100,1971-07-15,2006-11-06,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,,37.6869,128.7587,842.52,843.96,1.5,10,1.6
101,1966-01-01,,춘천,강원도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,75.82,77.05,1.5,10,1.4
101,2006-12-08,2016-09-29,춘천,강원도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,76.47,,,,
102,2018-05-01,,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.974,124.7124,36,,,,
102,2000-11-01,2018-05-01,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,146,147.2,1.8,9,1.2
102,2015-06-17,2018-05-01,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,146,,,9.4,
102,2003-03-22,2018-05-01,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,144.86,,,,
102,2000-01-31,2015-06-17,백령,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,144.86,,,9.4,
104,2008-07-28,,북강릉,강원도 강릉시사천면 과학단지로130 강원지방기상청 ,강릉(구 105),37.8046,128.8554,75.24,76.67,1.7,10,1.4
105,1911-10-03,,강릉,강원도 강릉시용강동 63-20강릉자동기상관측소  ,강릉(구 105),37.7515,128.891,27.12,28.22,1.7,10,0.5
106,1992-05-01,,동해,강원도 동해시중앙로 31동해자동기상관측소  ,동해기상대(106),37.5071,129.1243,40.46,41.66,1.7,10,1.4
108,2010-08-16,,서울,서울특별시 종로구송월길 52서울기상관측소  ,,37.5714,126.9658,85.8,,,,
108,1907-10-01,2010-08-15,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.5,86.5,1.5,10,0.6
108,2008-04-25,2010-08-15,서울,서울특별시 종로구송월길 52서울기상관측소  ,,37.5714,126.9658,85.5,,,,
110,1961-01-01,,김포공항,,,37.5569,126.7975,11.38,10.1,1.5,10,0.2
112,2013-10-22,,인천,인천광역시 중구전동 25번지인천기상대  ,인천기상대(112),37.4777,126.6249,68.99,70.19,1.6,10,1.2
112,1904-08-29,2013-10-22,인천,인천광역시 중구전동 25번지인천기상대  ,인천기상대(112),37.4776,126.6244,68.15,70.15,1.5,10,0.6
113,2000-09-01,,인천공항,,,37.4625,126.4392,7.1,6,1.5,10,1.1
114,1971-09-06,,원주,강원도 원주시단구로 159원주자동기상관측소  ,원주기상대(114),37.3375,127.9466,150.11,151.11,1.7,14,1.4
115,1938-08-10,,울릉도,경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.4813,130.8986,221.14,223.7,1.6,10,1.3
115,2016-03-01,,울릉도독도(감),경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.48,130.9,220.9,,,,
115,2012-01-01,,울릉도독도(감),경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,,37.4813,130.8986,222.8,,,,
