"STDR_YM_CD(기준_년월_코드)","RD_LINK_ID(도로링크_ID)","SIGNGU_CD(시군구코드)","ADSTRD_CD(행정동코드)","DAYWEEK_CD(요일코드)","AGRDE_CD(연령대코드)","TMZON_CD(시간대코드)","FLPOP_CO(유동인구_수)"
"201612","6833","11320","11320511","1","00","00",226.700333333333
"201612","6833","11320","11320511","1","00","01",0
"201612","6833","11320","11320511","1","00","02",27.0013333333333
"201612","6833","11320","11320511","1","00","03",47.023
"201612","6833","11320","11320511","1","00","04",58.735
"201612","6833","11320","11320511","1","00","05",72.9956666666667
"201612","6833","11320","11320511","1","00","06",20.9453333333333
"201612","6833","11320","11320511","1","10","00",11.3843333333333
"201612","6833","11320","11320511","1","10","01",0
"201612","6833","11320","11320511","1","10","02",0.403333333333333
"201612","6833","11320","11320511","1","10","03",0.645333333333333
"201612","6833","11320","11320511","1","10","04",4.56
"201612","6833","11320","11320511","1","10","05",4.32433333333333
"201612","6833","11320","11320511","1","10","06",1.45133333333333
"201612","6833","11320","11320511","1","20","00",24.862
"201612","6833","11320","11320511","1","20","01",0
"201612","6833","11320","11320511","1","20","02",0.484
"201612","6833","11320","11320511","1","20","03",2.77633333333333
"201612","6833","11320","11320511","1","20","04",4.771
"201612","6833","11320","11320511","1","20","05",10.468
"201612","6833","11320","11320511","1","20","06",6.36266666666667
"201612","6833","11320","11320511","1","30","00",43.4666666666667
"201612","6833","11320","11320511","1","30","01",0
"201612","6833","11320","11320511","1","30","02",5.334
"201612","6833","11320","11320511","1","30","03",9.51566666666667
"201612","6833","11320","11320511","1","30","04",10.4823333333333
"201612","6833","11320","11320511","1","30","05",14.379
"201612","6833","11320","11320511","1","30","06",3.75566666666667
"201612","6833","11320","11320511","1","40","00",60.7683333333333
"201612","6833","11320","11320511","1","40","01",0
"201612","6833","11320","11320511","1","40","02",8.82866666666667
"201612","6833","11320","11320511","1","40","03",13.2203333333333
"201612","6833","11320","11320511","1","40","04",14.9103333333333
"201612","6833","11320","11320511","1","40","05",18.8086666666667
"201612","6833","11320","11320511","1","40","06",5.00033333333333
"201612","6833","11320","11320511","1","50","00",59.9676666666667
"201612","6833","11320","11320511","1","50","01",0
"201612","6833","11320","11320511","1","50","02",8.58033333333333
"201612","6833","11320","11320511","1","50","03",13.5423333333333
"201612","6833","11320","11320511","1","50","04",15.5113333333333
"201612","6833","11320","11320511","1","50","05",18.2003333333333
"201612","6833","11320","11320511","1","50","06",4.13333333333333
"201612","6833","11320","11320511","1","60","00",26.2513333333333
"201612","6833","11320","11320511","1","60","01",0
"201612","6833","11320","11320511","1","60","02",3.371
"201612","6833","11320","11320511","1","60","03",7.323
"201612","6833","11320","11320511","1","60","04",8.5
"201612","6833","11320","11320511","1","60","05",6.81533333333333
"201612","6833","11320","11320511","1","60","06",0.242
"201612","6833","11320","11320511","2","00","00",161.11
"201612","6833","11320","11320511","2","00","01",0
"201612","6833","11320","11320511","2","00","02",11.9358333333333
"201612","6833","11320","11320511","2","00","03",38.4516666666667
"201612","6833","11320","11320511","2","00","04",43.5483333333333
"201612","6833","11320","11320511","2","00","05",54.7933333333333
"201612","6833","11320","11320511","2","00","06",12.3808333333333
"201612","6833","11320","11320511","2","10","00",8.15583333333333
"201612","6833","11320","11320511","2","10","01",0
"201612","6833","11320","11320511","2","10","02",0
"201612","6833","11320","11320511","2","10","03",1.24416666666667
"201612","6833","11320","11320511","2","10","04",2.30333333333333
"201612","6833","11320","11320511","2","10","05",3.765
"201612","6833","11320","11320511","2","10","06",0.843333333333333
"201612","6833","11320","11320511","2","20","00",22.2475
"201612","6833","11320","11320511","2","20","01",0
"201612","6833","11320","11320511","2","20","02",0.198333333333333
"201612","6833","11320","11320511","2","20","03",3.455
"201612","6833","11320","11320511","2","20","04",4.65
"201612","6833","11320","11320511","2","20","05",8.81833333333333
"201612","6833","11320","11320511","2","20","06",5.12583333333333
"201612","6833","11320","11320511","2","30","00",27.8233333333333
"201612","6833","11320","11320511","2","30","01",0
"201612","6833","11320","11320511","2","30","02",1.83666666666667
"201612","6833","11320","11320511","2","30","03",7.58583333333333
"201612","6833","11320","11320511","2","30","04",7.68083333333333
"201612","6833","11320","11320511","2","30","05",9.28333333333333
"201612","6833","11320","11320511","2","30","06",1.43666666666667
"201612","6833","11320","11320511","2","40","00",39.1841666666667
"201612","6833","11320","11320511","2","40","01",0
"201612","6833","11320","11320511","2","40","02",3.34416666666667
"201612","6833","11320","11320511","2","40","03",9.875
"201612","6833","11320","11320511","2","40","04",10.6041666666667
"201612","6833","11320","11320511","2","40","05",13.1725
"201612","6833","11320","11320511","2","40","06",2.18833333333333
"201612","6833","11320","11320511","2","50","00",47.2025
"201612","6833","11320","11320511","2","50","01",0
"201612","6833","11320","11320511","2","50","02",4.76083333333333
"201612","6833","11320","11320511","2","50","03",11.6208333333333
"201612","6833","11320","11320511","2","50","04",13.2875
"201612","6833","11320","11320511","2","50","05",14.945
"201612","6833","11320","11320511","2","50","06",2.58833333333333
"201612","6833","11320","11320511","2","60","00",16.4966666666667
"201612","6833","11320","11320511","2","60","01",0
"201612","6833","11320","11320511","2","60","02",1.79583333333333
"201612","6833","11320","11320511","2","60","03",4.67083333333333
"201612","6833","11320","11320511","2","60","04",5.0225
"201612","6833","11320","11320511","2","60","05",4.80916666666667
"201612","6833","11320","11320511","2","60","06",0.198333333333333
"201612","6834","11320","11320511","1","00","00",316.650823529412
"201612","6834","11320","11320511","1","00","01",1.41841176470588
"201612","6834","11320","11320511","1","00","02",44.3310588235294
"201612","6834","11320","11320511","1","00","03",63.5931176470588
"201612","6834","11320","11320511","1","00","04",76.419
"201612","6834","11320","11320511","1","00","05",97.2684705882353
"201612","6834","11320","11320511","1","00","06",33.6207647058824
"201612","6834","11320","11320511","1","10","00",25.5710588235294
"201612","6834","11320","11320511","1","10","01",0
"201612","6834","11320","11320511","1","10","02",3.26352941176471
"201612","6834","11320","11320511","1","10","03",3.16176470588235
"201612","6834","11320","11320511","1","10","04",7.50294117647059
"201612","6834","11320","11320511","1","10","05",8.43417647058824
"201612","6834","11320","11320511","1","10","06",3.20864705882353
"201612","6834","11320","11320511","1","20","00",39.0652941176471
"201612","6834","11320","11320511","1","20","01",1.34382352941176
"201612","6834","11320","11320511","1","20","02",4.05094117647059
"201612","6834","11320","11320511","1","20","03",6.47835294117647
"201612","6834","11320","11320511","1","20","04",7.09294117647059
"201612","6834","11320","11320511","1","20","05",12.5444117647059
"201612","6834","11320","11320511","1","20","06",7.55482352941176
"201612","6834","11320","11320511","1","30","00",56.98
"201612","6834","11320","11320511","1","30","01",0.0745882352941177
"201612","6834","11320","11320511","1","30","02",8.00541176470588
"201612","6834","11320","11320511","1","30","03",11.2261176470588
"201612","6834","11320","11320511","1","30","04",12.9088235294118
"201612","6834","11320","11320511","1","30","05",18.1110588235294
"201612","6834","11320","11320511","1","30","06",6.654
"201612","6834","11320","11320511","1","40","00",74.8477647058824
"201612","6834","11320","11320511","1","40","01",0
"201612","6834","11320","11320511","1","40","02",10.9097058823529
"201612","6834","11320","11320511","1","40","03",14.9439411764706
"201612","6834","11320","11320511","1","40","04",17.781
"201612","6834","11320","11320511","1","40","05",23.416
"201612","6834","11320","11320511","1","40","06",7.79711764705882
"201612","6834","11320","11320511","1","50","00",75.6370588235294
"201612","6834","11320","11320511","1","50","01",0
"201612","6834","11320","11320511","1","50","02",11.1579411764706
"201612","6834","11320","11320511","1","50","03",15.9822941176471
"201612","6834","11320","11320511","1","50","04",18.5472941176471
"201612","6834","11320","11320511","1","50","05",22.8169411764706
"201612","6834","11320","11320511","1","50","06",7.13258823529412
"201612","6834","11320","11320511","1","60","00",44.5496470588235
"201612","6834","11320","11320511","1","60","01",0
"201612","6834","11320","11320511","1","60","02",6.94352941176471
"201612","6834","11320","11320511","1","60","03",11.8006470588235
"201612","6834","11320","11320511","1","60","04",12.586
"201612","6834","11320","11320511","1","60","05",11.9458823529412
"201612","6834","11320","11320511","1","60","06",1.27358823529412
"201612","6834","11320","11320511","2","00","00",238.778676470588
"201612","6834","11320","11320511","2","00","01",3.73632352941176
"201612","6834","11320","11320511","2","00","02",25.9144117647059
"201612","6834","11320","11320511","2","00","03",54.1726470588235
"201612","6834","11320","11320511","2","00","04",56.1933823529412
"201612","6834","11320","11320511","2","00","05",71.7901470588235
"201612","6834","11320","11320511","2","00","06",26.9717647058824
"201612","6834","11320","11320511","2","10","00",21.5797058823529
"201612","6834","11320","11320511","2","10","01",0
"201612","6834","11320","11320511","2","10","02",0.614705882352941
"201612","6834","11320","11320511","2","10","03",5.7025
"201612","6834","11320","11320511","2","10","04",6.09941176470588
"201612","6834","11320","11320511","2","10","05",6.18647058823529
"201612","6834","11320","11320511","2","10","06",2.97661764705882
"201612","6834","11320","11320511","2","20","00",36.0994117647059
"201612","6834","11320","11320511","2","20","01",2.77308823529412
"201612","6834","11320","11320511","2","20","02",2.26705882352941
"201612","6834","11320","11320511","2","20","03",6.63882352941176
"201612","6834","11320","11320511","2","20","04",7.06514705882353
"201612","6834","11320","11320511","2","20","05",10.1394117647059
"201612","6834","11320","11320511","2","20","06",7.21588235294118
"201612","6834","11320","11320511","2","30","00",41.3620588235294
"201612","6834","11320","11320511","2","30","01",0.583529411764706
"201612","6834","11320","11320511","2","30","02",4.58676470588235
"201612","6834","11320","11320511","2","30","03",9.70882352941176
"201612","6834","11320","11320511","2","30","04",9.43794117647059
"201612","6834","11320","11320511","2","30","05",11.9335294117647
"201612","6834","11320","11320511","2","30","06",5.11147058823529
"201612","6834","11320","11320511","2","40","00",51.0933823529412
"201612","6834","11320","11320511","2","40","01",0.286911764705882
"201612","6834","11320","11320511","2","40","02",6.07029411764706
"201612","6834","11320","11320511","2","40","03",11.2692647058824
"201612","6834","11320","11320511","2","40","04",11.9416176470588
"201612","6834","11320","11320511","2","40","05",16.2376470588235
"201612","6834","11320","11320511","2","40","06",5.28764705882353
"201612","6834","11320","11320511","2","50","00",55.5626470588235
"201612","6834","11320","11320511","2","50","01",0.0927941176470588
"201612","6834","11320","11320511","2","50","02",7.35014705882353
"201612","6834","11320","11320511","2","50","03",12.1191176470588
"201612","6834","11320","11320511","2","50","04",13.2064705882353
"201612","6834","11320","11320511","2","50","05",17.5079411764706
"201612","6834","11320","11320511","2","50","06",5.28617647058824
"201612","6834","11320","11320511","2","60","00",33.0814705882353
"201612","6834","11320","11320511","2","60","01",0
"201612","6834","11320","11320511","2","60","02",5.02544117647059
"201612","6834","11320","11320511","2","60","03",8.73411764705882
"201612","6834","11320","11320511","2","60","04",8.44279411764706
"201612","6834","11320","11320511","2","60","05",9.78514705882353
"201612","6834","11320","11320511","2","60","06",1.09397058823529
"201612","6851","11320","11320511","1","00","00",307.6186
"201612","6851","11320","11320511","1","00","01",0.542
"201612","6851","11320","11320511","1","00","02",41.10915
"201612","6851","11320","11320511","1","00","03",61.4111
"201612","6851","11320","11320511","1","00","04",76.1039
"201612","6851","11320","11320511","1","00","05",95.3147
"201612","6851","11320","11320511","1","00","06",33.13775
"201612","6851","11320","11320511","1","10","00",23.43635
"201612","6851","11320","11320511","1","10","01",0.06
"201612","6851","11320","11320511","1","10","02",1.77195
"201612","6851","11320","11320511","1","10","03",2.22095
"201612","6851","11320","11320511","1","10","04",8.0312
"201612","6851","11320","11320511","1","10","05",8.3693
"201612","6851","11320","11320511","1","10","06",2.98295
"201612","6851","11320","11320511","1","20","00",37.52855
"201612","6851","11320","11320511","1","20","01",0.24735
"201612","6851","11320","11320511","1","20","02",1.8765
"201612","6851","11320","11320511","1","20","03",5.79995
"201612","6851","11320","11320511","1","20","04",7.5533
"201612","6851","11320","11320511","1","20","05",13.5794
"201612","6851","11320","11320511","1","20","06",8.47205
"201612","6851","11320","11320511","1","30","00",56.49625
"201612","6851","11320","11320511","1","30","01",0.08425
"201612","6851","11320","11320511","1","30","02",8.08055
"201612","6851","11320","11320511","1","30","03",12.0215
"201612","6851","11320","11320511","1","30","04",12.8231
"201612","6851","11320","11320511","1","30","05",17.5903
"201612","6851","11320","11320511","1","30","06",5.89655
"201612","6851","11320","11320511","1","40","00",76.67145
"201612","6851","11320","11320511","1","40","01",0.0903
"201612","6851","11320","11320511","1","40","02",11.58855
"201612","6851","11320","11320511","1","40","03",14.9188
"201612","6851","11320","11320511","1","40","04",18.3483
"201612","6851","11320","11320511","1","40","05",23.64375
"201612","6851","11320","11320511","1","40","06",8.08175
"201612","6851","11320","11320511","1","50","00",73.9665
"201612","6851","11320","11320511","1","50","01",0.0601
"201612","6851","11320","11320511","1","50","02",11.416
"201612","6851","11320","11320511","1","50","03",15.9851
"201612","6851","11320","11320511","1","50","04",17.96475
"201612","6851","11320","11320511","1","50","05",21.8079
"201612","6851","11320","11320511","1","50","06",6.73265
"201612","6851","11320","11320511","1","60","00",39.5195
"201612","6851","11320","11320511","1","60","01",0
"201612","6851","11320","11320511","1","60","02",6.3756
"201612","6851","11320","11320511","1","60","03",10.4648
"201612","6851","11320","11320511","1","60","04",11.38325
"201612","6851","11320","11320511","1","60","05",10.32405
"201612","6851","11320","11320511","1","60","06",0.9718
"201612","6851","11320","11320511","2","00","00",242.54325
