기관 명,송신 서버 번호,데이터 번호,모델명,시리얼,구분,초미세먼지(㎍/㎥),미세먼지(㎍/㎥),기온(℃),상대습도( %),풍향(°),풍속(m/s),돌풍 풍향(°),돌풍 풍속(m/s),조도(lux),자외선(UVI),소음(dB),진동_x(g),진동_y(g),진동_z(g),진동_x 최대(g),진동_y 최대(g),진동_z 최대(g),흑구 운도(℃),초미세먼지 보정(㎍/㎥),미세먼지 보정(㎍/㎥),전송시간,등록일자
서울시,48,1,SDOT001,V02Q1940947,1,9,9,20.9,88,,,,,17,0,52,0.01,0.06,1.02,0.06,0.12,1.09,,8,10,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940946,1,6,6,20.7,89,,,,,6,0,44,0.09,0.12,0.98,0.13,0.17,1.09,,10,10,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940948,1,5,5,21.7,88,,,,,0,0,43,0.02,0.08,1.03,0.06,0.14,1.1,,7,9,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940949,1,5,5,20.7,88,,,,,125,0,47,0.01,0.02,1.05,0.05,0.13,1.14,,8,9,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940950,1,6,6,21.2,86,,,,,9,0,38,0.01,0.11,0.96,0.06,0.17,1.04,,7,9,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940951,1,6,6,20.6,91,,,,,0,0,45,0.02,0.03,1,0.08,0.1,1.1,,8,7,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940952,1,6,6,21.3,88,,,,,12,0,44,0.02,0.12,1.02,0.08,0.18,1.1,,9,11,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940954,1,6,6,21.6,85,,,,,10,0,60,0.06,0.08,1.02,0.1,0.13,1.11,,3,7,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940953,1,6,6,20.8,87,,,,,2,0,47,0.08,0.04,0.96,0.13,0.11,1.04,,7,11,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940955,1,5,5,20.8,89,,,,,0,0,46,0.01,0.07,1.03,0.05,0.13,1.11,,6,9,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1941000,1,5,8,20.7,91,,,,,0,0,,,,,,,,,9,15,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1941006,1,1,1,20.7,91,,,,,0,0,,,,,,,,,2,1,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1941013,1,0,0,21.2,92,,,,,0,0,,,,,,,,,0,0,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1941015,1,1,3,21,89,,,,,0,0,,,,,,,,,1,4,2.02E+11,07:57.0
서울시,48,1,SDOT001,V02Q1940881,1,11,11,20.6,89,,,,,83,0,45,0.03,0.08,0.98,0.09,0.13,1.11,,12,11,2.02E+11,07:56.0
서울시,48,1,SDOT001,V02Q1940883,1,12,12,21,90,,,,,0,0,42,0.01,0.1,1.01,0.06,0.15,1.09,,11,15,2.02E+11,07:56.0
