"MODEL(모델명)","SERIAL(시리얼)","PM25(초미세먼지)","PM10(미세먼지)","TEMP(기온)","HUMI(상대습도)","WIND_DIRE(풍향)","WIND_SPEED(풍속)","GUST_DIRE(돌풍 풍향)","GUST_SPEED(돌풍 풍속)","INTE_ILLU(조도)","ULTRA_RAYS(자외선)","NOISE(소음)","VIBR_X(진동x)","VIBR_Y(진동y)","VIBR_Z(진동z)","VIBR_X_MAX(진동x 최대)","VIBR_Y_MAX(진동y 최대)","VIBR_Z_MAX(진동z 최대)","EFFE_TEMP(흑구 온도)","PM25_STD(초미세먼지 보정)","PM10_STD(미세먼지 보정)","REG_DATE(측정시간)","CARBON_MONO(일산화탄소)","NITROGEN_DIO(이산화질소)","SULFUR_DIO(이산화황)","AMMONIA(암모니아)","HYDROGEN_SULF(황화수소)","OZONE(오존)","DB_DATE(등록일시)"
"SDOT001","V02Q1940887",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:02"
"SDOT001","V02Q1940955",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","V02Q1940751",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","V02Q1940591",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","V02Q1940055",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","V02Q1940883",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","V02Q1940765",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","OC3CL200175",999,999,99.9,99,,,,,,,99,,,,,,,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","OC3CL200115",999,999,99.9,99,,,,,,,99,,,,,,,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","V02Q1940053",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","OC3CL200047",999,999,99.9,99,,,,,,,99,,,,,,,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:03"
"SDOT001","V02Q1940595",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:04"
"SDOT001","V02Q1940293",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:04"
"SDOT001","V02Q1940415",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:04"
"SDOT001","OC3CL200055",999,999,99.9,99,,,,,,,99,,,,,,,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:04"
"SDOT001","V02Q1940529",999,999,99.9,99,,,,,99999,9.9,99,9.99,9.99,9.99,99.99,99.99,99.99,,999,999,"202103010000",,,,,,,"2021-03-01 00:00:04"
