"SCAPTION(지점명)","SECTIME(년월일시분)","S00A(풍향)","S00A_S(풍향)","S01A(풍속)","S02A(기온)","S03M(강수)","S04A(강수유무)","S05A(습도)","S06M(일사)","S07M(일조)"
"[서] 도봉",20170101000100,0,"북",0,-0.4,0,0,83.4,0,0
"[서] 도봉",20170101000200,0,"북",0,-0.5,0,0,83.5,0,0
"[서] 도봉",20170101000300,0,"북",0,-0.5,0,0,83.8,0,0
"[서] 도봉",20170101000400,0,"북",0,-0.4,0,0,84.1,0,0
"[서] 도봉",20170101000500,0,"북",0,-0.2,0,0,84.3,0,0
"[서] 도봉",20170101000600,0,"북",0,-0.2,0,0,84,0,0
"[서] 도봉",20170101000700,0,"북",0,-0.3,0,0,83.6,0,0
"[서] 도봉",20170101000800,0,"북",0,-0.4,0,0,83.7,0,0
"[서] 도봉",20170101000900,0,"북",0,-0.5,0,0,83.7,0,0
"[서] 도봉",20170101001000,0,"북",0,-0.5,0,0,84.1,0,0
"[서] 도봉",20170101001100,0,"북",0,-0.5,0,0,84,0,0
"[서] 도봉",20170101001200,0,"북",0,-0.5,0,0,84.1,0,0
"[서] 도봉",20170101001300,0,"북",0,-0.5,0,0,84.2,0,0
"[서] 도봉",20170101001400,0,"북",0,-0.5,0,0,84,0,0
"[서] 도봉",20170101001500,0,"북",0,-0.5,0,0,84,0,0
"[서] 도봉",20170101001600,0,"북",0,-0.6,0,0,84.1,0,0
"[서] 도봉",20170101001700,0,"북",0,-0.6,0,0,84.5,0,0
"[서] 도봉",20170101001800,0,"북",0,-0.5,0,0,84.7,0,0
"[서] 도봉",20170101001900,0,"북",0,-0.4,0,0,84.5,0,0
"[서] 도봉",20170101002000,0,"북",0,-0.5,0,0,84.3,0,0
"[서] 도봉",20170101002100,0,"북",0,-0.5,0,0,84.3,0,0
"[서] 도봉",20170101002200,0,"북",0,-0.5,0,0,84.4,0,0
"[서] 도봉",20170101002300,0,"북",0,-0.4,0,0,84.6,0,0
"[서] 도봉",20170101002400,0,"북",0,-0.4,0,0,84.1,0,0
"[서] 도봉",20170101002500,0,"북",0,-0.4,0,0,84.3,0,0
"[서] 도봉",20170101002600,0,"북",0,-0.4,0,0,84.4,0,0
"[서] 도봉",20170101002700,0,"북",0,-0.4,0,0,84.4,0,0
"[서] 도봉",20170101002800,0,"북",0,-0.3,0,0,84.3,0,0
"[서] 도봉",20170101002900,0,"북",0,-0.3,0,0,84.2,0,0
"[서] 도봉",20170101003000,0,"북",0,-0.4,0,0,84.1,0,0
"[서] 도봉",20170101003100,0,"북",0,-0.4,0,0,84.3,0,0
"[서] 도봉",20170101003200,0,"북",0,-0.3,0,0,84.9,0,0
"[서] 도봉",20170101003300,0,"북",0,-0.1,0,0,84.9,0,0
"[서] 도봉",20170101003400,0,"북",0,0,0,0,84.7,0,0
"[서] 도봉",20170101003500,0,"북",0,0,0,0,84.5,0,0
"[서] 도봉",20170101003600,0,"북",0,0.1,0,0,84.4,0,0
"[서] 도봉",20170101003700,0,"북",0,0.1,0,0,84.2,0,0
"[서] 도봉",20170101003800,0,"북",0,0.1,0,0,84.4,0,0
"[서] 도봉",20170101003900,0,"북",0,0.2,0,0,84.3,0,0
"[서] 도봉",20170101004000,0,"북",0,0.3,0,0,84.1,0,0
"[서] 도봉",20170101004100,0,"북",0,0.3,0,0,83.9,0,0
"[서] 도봉",20170101004200,0,"북",0,0.3,0,0,83.7,0,0
"[서] 도봉",20170101004300,0,"북",0,0.3,0,0,83.8,0,0
"[서] 도봉",20170101004400,0,"북",0,0.3,0,0,83.7,0,0
"[서] 도봉",20170101004500,0,"북",0,0.4,0,0,83.8,0,0
"[서] 도봉",20170101004600,0,"북",0,0.4,0,0,83.5,0,0
"[서] 도봉",20170101004700,0,"북",0,0.4,0,0,83.4,0,0
"[서] 도봉",20170101004800,0,"북",0,0.4,0,0,83.4,0,0
"[서] 도봉",20170101004900,0,"북",0,0.3,0,0,83.4,0,0
"[서] 도봉",20170101005000,0,"북",0,0.3,0,0,83.4,0,0
"[서] 도봉",20170101005100,0,"북",0,0.3,0,0,83.5,0,0
"[서] 도봉",20170101005200,0,"북",0,0.3,0,0,83.4,0,0
"[서] 도봉",20170101005300,0,"북",0,0.3,0,0,83.4,0,0
"[서] 도봉",20170101005400,0,"북",0,0.2,0,0,83.2,0,0
"[서] 도봉",20170101005500,0,"북",0,0.2,0,0,83.3,0,0
"[서] 도봉",20170101005600,0,"북",0,0.1,0,0,83.4,0,0
"[서] 도봉",20170101005700,0,"북",0,0.1,0,0,83.6,0,0
"[서] 도봉",20170101005800,0,"북",0,0.1,0,0,83.8,0,0
"[서] 도봉",20170101005900,0,"북",0,0.1,0,0,83.9,0,0
